Cited by,Source,Target
4159,2947,3307
4167,2412,3782
4170,3046,3274
4177,3520,3880
4183,3667,3953
4184,3673,3745
4186,3307,3709
4194,3212,3913
4196,2780,4196
4213,2164,4027
4239,3673,3920
4242,1964,3673
4242,1964,4095
4242,3673,4095
4246,1961,2577
4246,1961,2033
4246,1961,2092
4246,2033,2577
4246,2092,2577
4246,2033,2092
4250,3126,3953
4250,2947,3953
4250,3935,3953
4250,3847,3953
4250,2947,3126
4250,3126,3935
4250,3126,3847
4250,2947,3935
4250,2947,3847
4250,3847,3935
4251,1531,3233
4254,3750,4156
4271,3997,4020
4274,1911,3523
4285,2206,3337
4293,1533,3997
4307,3451,4105
4311,2882,4074
4315,3841,3841
4329,1452,6225
4330,2540,3078
4331,3313,4132
4332,2634,3371
4334,3048,3313
4340,1773,4033
4343,1963,3374
4350,3313,3583
4350,3313,3363
4350,3078,3313
4350,3363,3583
4350,3078,3583
4350,3078,3363
4351,2672,3717
4352,1892,2082
4365,2882,3947
4365,2055,2882
4365,2055,3947
4368,964,2721
4383,3078,3256
4396,3644,4074
4399,2947,3954
4399,3954,4159
4399,2947,4159
4401,2178,3902
4403,2980,4119
4409,2647,2914
4409,2647,3048
4409,2647,3790
4409,2647,3958
4409,2914,3048
4409,2914,3790
4409,2914,3958
4409,3048,3790
4409,3048,3958
4409,3790,3958
4411,1853,2207
4411,2207,2294
4411,2207,3372
4411,1853,2294
4411,1853,3372
4411,2294,3372
4418,3286,3633
4418,3286,3997
4418,3286,4125
4418,2352,3286
4418,3633,3997
4418,3633,4125
4418,2352,3633
4418,3997,4125
4418,2352,3997
4418,2352,4125
4419,2474,3932
4426,1115,4065
4426,1115,1750
4426,1750,4065
4433,2578,4009
4433,2578,3935
4433,3935,4009
4444,3321,3623
4446,2755,4123
4455,3769,4455
4457,3188,3836
4459,3931,4137
4460,2904,4045
4467,3313,4136
4469,3644,4074
4474,1886,3363
4479,3293,4160
4485,4180,4181
4487,3371,3605
4489,2912,4130
4490,2042,4074
4490,2042,3644
4490,3644,4074
4492,1808,4323
4497,3997,4467
4501,3916,4095
4506,4395,4463
4512,3949,4329
4512,2564,3949
4512,3947,3949
4512,2564,4329
4512,3947,4329
4512,2564,3947
4516,3164,4293
4534,2882,3662
4545,3484,4069
4564,2092,4365
4581,2882,3147
4581,2882,4365
4581,3147,4365
4588,1866,3182
4593,4383,4387
4606,1672,3902
4606,3025,3902
4606,3662,3902
4606,1672,3025
4606,1672,3662
4606,3025,3662
4611,2808,4455
4614,3599,4365
4621,2882,3033
4627,3644,4396
4627,4074,4396
4627,3644,4074
4633,3693,3882
4633,3400,3882
4633,3882,4216
4633,3323,3882
4633,3400,3693
4633,3693,4216
4633,3323,3693
4633,3400,4216
4633,3323,3400
4633,3323,4216
4639,1622,3553
4639,1497,3553
4639,2090,3553
4639,1987,3553
4639,3553,3786
4639,1497,1622
4639,1622,2090
4639,1622,1987
4639,1622,3786
4639,1497,2090
4639,1497,1987
4639,1497,3786
4639,1987,2090
4639,2090,3786
4639,1987,3786
4645,3323,3882
4646,2971,3451
4647,4159,4399
4652,2672,3584
4658,1668,3312
4666,2634,3401
4670,3782,4372
4671,1976,2540
4671,1976,2082
4671,2082,2540
4677,2882,3309
4681,835,1242
4687,2511,3888
4689,3586,3697
4690,3168,3917
4691,2896,3923
4709,454,772
4719,3997,4467
4729,3935,4125
4729,2595,4125
4729,3706,4125
4729,2774,4125
4729,4125,4292
4729,2595,3935
4729,3706,3935
4729,2774,3935
4729,3935,4292
4729,2595,3706
4729,2595,2774
4729,2595,4292
4729,2774,3706
4729,3706,4292
4729,2774,4292
4730,3868,4293
4758,3312,4132
4760,4027,4250
4769,3048,3363
4769,3048,3313
4769,3313,3363
4781,2317,2743
4784,2882,3835
4784,2882,3854
4784,3835,3854
4786,2466,3426
4786,2466,4474
4786,2466,3266
4786,3426,4474
4786,3266,3426
4786,3266,4474
4790,2975,3630
4790,1745,2975
4790,1745,3630
4793,3667,3749
4793,2125,3667
4793,2125,3749
4794,2794,3210
4794,2794,3715
4794,3210,3715
4807,4163,4398
4808,3667,3749
4811,2531,4141
4811,3906,4141
4811,2531,3906
4814,1783,3378
4814,1783,4383
4814,1668,1783
4814,3378,4383
4814,1668,3378
4814,1668,4383
4818,3703,4399
4818,3703,3847
4818,3703,3875
4818,3847,4399
4818,3875,4399
4818,3847,3875
4821,4245,4417
4821,3962,4417
4821,4417,4487
4821,3962,4245
4821,4245,4487
4821,3962,4487
4829,2377,2971
4832,1668,3312
4837,2882,3638
4839,3630,4255
4846,3667,3749
4867,3257,3907
4870,3268,4754
4882,1253,2405
4884,2882,4837
4884,3309,4837
4884,2882,3309
4893,3340,3738
4895,3215,3218
