id,PageRankRank,T0PRRank,T1PRRank,T2PRRank,T3PRRank,T4PRRank,T5PRRank,T6PRRank,T7PRRank,T8PRRank,T9PRRank
4914,1513,1704,5487,102,5868,1957,5395,2348,5245,1405,4676
5676,1514,6377,3510,893,1553,5025,1901,4769,1959,5174,2459
1552,1515,679,6337,3808,1564,5017,1908,266,4441,7374,3081
7566,1516,6376,3511,247,1338,4952,1952,857,5261,2547,7430
839,1517,6375,3513,6874,239,5989,1347,6202,3346,7669,2832
8358,1518,271,6003,3884,6630,1056,6011,1711,6728,4042,7183
1035,1519,6374,47,5772,372,5956,192,7630,3873,8121,3225
4457,1520,6373,3506,6878,3731,6940,342,45,4295,6799,4505
6993,1521,579,5781,1974,5562,2671,7450,3175,7915,320,5575
1144,1522,680,272,5847,846,6457,3621,515,6908,4723,661
5261,1523,1545,4755,1987,1508,5002,811,5704,2716,5381,2270
4495,1525,6371,229,5945,4086,6655,430,5811,3080,7737,2770
4497,1524,6372,230,5944,4078,6662,504,5980,3203,7855,3414
8122,1526,1328,5128,2460,1539,4981,1995,5396,667,282,5908
4438,1527,681,6336,418,5638,1258,4851,2166,5587,2836,8216
3657,1528,6370,3474,405,423,5626,1352,6197,1722,6272,4070
3955,1529,574,469,912,6158,4034,7243,693,7633,3224,231
5285,1530,1270,4981,2652,7523,594,759,5756,3301,7492,3047
5347,1531,266,5980,3958,6578,1072,6174,1682,6767,1045,6161
7756,1533,662,372,685,6333,4105,7172,4211,1038,6152,3930
7757,1532,664,371,687,6331,4107,7185,4198,1019,6007,1654
7868,1534,6369,3475,6719,298,6007,1487,4920,7515,3535,6883
6438,1535,6368,3476,6718,3896,265,5956,1773,6581,4437,7126
3581,1536,6367,3478,85,5882,1885,5463,2289,389,291,5900
7944,1537,577,5783,1940,5536,303,5866,1642,6613,4356,6950
5645,1538,6366,3479,6716,3898,6517,190,7570,3932,8066,3512
2740,1539,6365,3480,6703,1857,307,5877,1587,1598,6595,430
2651,1540,6364,3481,6715,3899,6516,222,4773,7376,208,548
8671,1541,6363,3482,6714,3901,6514,183,8164,4066,787,6363
7276,1542,6362,3484,165,6049,1723,4724,2049,1454,6500,3800
5583,1543,1281,5000,2705,7542,2950,747,5682,2671,5643,1360
785,1544,6361,456,5514,1306,4946,1970,141,4827,7181,4255
5000,1545,6384,336,5548,2646,821,1002,6456,4645,7123,4306
9091,1548,6387,3499,6791,301,6006,1488,100,3929,8069,3509
9089,1547,6385,3501,6792,302,6005,1489,101,3859,8132,3216
9090,1546,6360,3486,6711,303,6004,1490,99,3965,6892,4489
2141,1549,6410,3618,6794,129,5881,1754,4646,315,2147,5159
8184,1550,6409,3610,6802,317,5939,1367,6184,3278,7511,3030
6806,1551,6408,3611,6801,1896,5410,723,371,1885,6292,4051
6883,1552,6407,350,5536,2649,7836,3490,8040,4367,6732,4373
1486,1553,6406,1848,5429,2375,5282,2578,661,8248,707,669
570,1554,6405,3613,6799,221,5830,1654,527,1772,6232,262
992,1555,6404,1878,5460,2290,5118,2547,7767,3593,312,5582
4207,1556,1557,4757,1985,1554,863,954,6265,2713,5384,2267
4518,1557,6403,3614,6798,786,6271,754,5761,262,4105,7290
5462,1558,1106,6226,327,5696,1548,4572,7105,1812,593,6289
3365,1559,6402,381,5576,2439,5224,908,6365,2742,5416,2180
1884,1560,6401,277,5829,4207,7242,2995,7593,3961,6895,127
8834,1561,6400,3608,1011,1412,4895,234,4643,6887,4740,2165
4444,1562,1649,4853,1103,6215,3987,6604,3778,458,2709,7541
18,1563,1918,139,1391,370,5958,1400,4931,7506,3596,6836
7658,1564,6399,3619,6820,3743,6900,4496,6997,326,1248,5001
8428,1565,661,6407,4345,7446,3240,984,6297,760,902,6082
5124,1566,6398,3620,6807,3974,6688,4391,783,521,932,5993
4482,1567,6397,3621,6821,3742,6930,4448,963,469,2726,7557
4481,1569,6395,3625,6847,3759,6857,4551,964,470,2728,7585
4480,1568,6396,3623,6849,3745,6899,4525,965,471,2660,7642
133,1570,6394,1502,4525,551,5758,1653,4866,7564,3276,8109
136,1571,6393,1501,4526,552,5757,1626,5035,7176,4510,7065
2027,1572,6392,3562,6899,1793,4843,730,5608,825,5943,1498
4540,1573,6391,3561,6900,3820,794,6422,4127,479,507,5656
4539,1574,6390,3560,6901,3839,808,6409,3962,480,508,5655
8268,1575,6389,3497,319,5703,1881,5467,2285,599,352,5607
1998,1576,647,1460,4591,7185,4327,7031,4521,1247,163,5947
1008,1577,6388,370,5582,2446,5219,2626,7697,3657,8277,3331
3287,1578,331,5701,1641,4922,2172,5259,2700,5911,979,844
1388,1579,6386,3500,781,284,6016,1472,719,7818,3348,8054
3599,1580,6358,3489,6708,3865,564,5699,1279,1269,5783,1637
1714,1581,2081,5230,606,6083,1798,5366,2657,268,4337,7026
5216,1582,1059,1467,4618,7216,4334,306,6402,2920,5426,2230
8597,1584,6357,3490,6707,438,5671,1670,834,5217,2373,7874
8596,1588,6326,3527,6864,439,5670,1669,833,5211,2379,7869
8598,1585,6329,3524,6866,443,5666,1661,832,5210,2380,7868
8599,1587,6327,3526,6865,442,5667,1662,831,5209,2381,7867
8601,1586,6328,3525,6853,441,5668,1666,830,5208,2382,7866
8600,1583,6332,3520,6869,440,5669,1668,829,5206,2384,7864
1221,1589,2005,248,608,6395,1647,4785,668,7669,3248,8072
7348,1590,6325,3528,6863,3692,6916,4460,6970,407,1140,4863
6767,1591,6324,3529,6862,278,177,5781,625,8018,4028,7197
7125,1592,6323,3530,1036,6274,806,6398,3971,8016,852,6071
8437,1593,381,5658,1808,5424,311,5919,1633,6620,4402,6974
2878,1594,6322,3531,1006,6130,2893,8148,3313,272,4314,7043
4920,1595,6321,3532,6861,3703,6907,202,5259,2573,295,5747
1186,1596,6320,1483,4603,7174,4313,7045,146,4794,7264,2982
8035,1597,6319,3534,6859,3705,633,5660,1476,6136,285,5905
5445,1598,291,6015,699,6322,4168,7350,3062,1616,6530,3830
3635,1603,6314,3651,6829,3755,6861,289,4952,7246,4626,2006
3639,1604,6313,4008,7177,3888,6582,288,4945,7499,3603,6829
3638,1602,6315,4007,7178,3891,6551,291,6192,3290,7489,3050
3636,1601,6316,3537,6856,3708,6903,290,6185,3277,7512,3029
3634,1600,6317,3536,6857,3707,6904,287,4942,7501,3601,6830
3637,1599,6318,3535,6858,3706,6905,286,4933,7505,3597,6835
251,1605,6312,352,5535,2621,7834,3491,8065,4330,6821,389
2434,1606,6311,4483,7079,2093,285,617,237,4414,7343,426
2851,1607,6310,4484,7077,3769,6847,4498,6995,549,1125,4877
3031,1608,6309,4487,7075,1674,1215,4860,2215,1590,6603,3763
7189,1609,6308,4488,7074,403,5640,1358,59,4364,6734,4371
8105,1611,6330,3522,6868,1682,895,6390,884,431,2514,7522
8106,1610,6307,4489,7073,1681,894,6391,883,432,2519,7518
7577,1612,6306,4481,7081,1832,447,5510,2473,999,5972,1527
2901,1613,6331,3521,649,385,5948,1361,6189,749,5126,2503
2900,1614,6333,3519,650,384,5949,1359,6191,745,5308,2563
7200,1616,6355,3492,6705,386,5947,1363,6188,3274,7542,2703
7201,1615,6356,3491,6706,387,5946,1365,6186,3276,7513,3028
7986,1617,6354,3515,677,6367,4128,7210,4339,380,317,5578
4960,1619,650,6417,4309,7417,3316,8110,3281,7874,3929,475
4958,1618,649,6418,4307,7418,3315,8111,3280,7875,3928,474
6529,1620,6353,3473,6720,412,924,6066,1238,6300,1987,5049
2856,1621,6352,3516,6872,1639,1058,6130,1367,422,2539,7468
7258,1622,6351,3518,6870,709,460,5559,2483,5328,252,5876
2868,1624,6349,1051,6139,4589,7080,4116,192,465,2753,7569
2867,1623,6350,1052,6138,4590,7079,4115,191,463,2716,7536
4574,1625,6348,3545,201,1495,5071,2534,7722,179,1592,4707
640,1626,6347,377,125,5909,1910,5499,2312,5248,227,5882
4301,1628,6345,3541,647,6419,769,6261,1280,6314,1974,5093
4303,1627,6346,3549,617,6388,784,6336,4029,7965,3865,6675
7629,1629,6344,3550,274,6024,1755,5348,2672,5985,892,6091
4079,1630,6343,3552,1221,5005,2257,6454,4155,1272,1345,756
4847,1631,6342,3553,6907,3834,6566,206,5301,3383,298,5596
4637,1632,6341,3554,6906,358,5911,1712,4739,7451,3439,6790
4636,1633,6340,3557,6903,359,5938,1368,6183,3279,7510,3031
2988,1634,651,1714,5308,879,596,5629,1506,6134,2294,369
8311,1635,6339,395,5566,2464,418,5563,2479,5332,2482,7490
5435,1636,6338,3559,271,6000,2020,5098,1959,1774,300,5594
3178,1637,137,5903,1622,4938,227,5951,1739,1242,5753,1686
1438,1638,6337,3551,6908,3833,553,5724,1233,2161,5253,87
2815,1639,265,5981,3957,6579,960,6092,1436,2243,4970,1904
8418,1640,652,6416,839,6450,3844,6507,4047,7998,689,6269
8416,1641,653,6414,868,6469,3776,6546,3952,8032,693,6265
661,1645,6335,3539,6854,400,5643,1371,6180,3307,7517,2874
2068,1643,401,5640,1675,4840,2439,7878,3552,948,6022,1574
535,1644,6336,3540,6880,401,5642,1364,6187,3275,7541,2704
2066,1642,402,5639,1678,4837,2442,7876,3554,949,6045,1597
7603,1648,5765,4193,7315,3374,7928,3497,8061,603,8289,3260
7602,1647,6197,4445,7047,3726,6945,4467,6964,604,8294,3256
1833,1646,6334,3538,6855,3709,6928,4450,6978,605,8254,3350
8332,1649,5764,4194,7314,3373,273,5889,1611,6590,4403,6973
2440,1650,5763,367,5572,2435,5227,529,6014,3041,7717,2849
2230,1651,5195,3046,8276,2784,7512,478,5913,2318,615,376
6779,1652,5194,3047,8275,941,6381,3694,6914,346,1828,5419
4858,1653,1043,6278,3842,6606,3921,694,5566,2820,5352,2239
6448,1654,5193,3040,8279,2807,7520,912,6361,2736,336,5623
6572,1655,5192,376,5580,2443,5221,2624,7699,3656,8303,3236
2077,1656,5191,3029,8286,2844,1610,589,5960,834,5925,1061
4630,1657,5190,3028,8287,351,5914,1710,554,2144,5214,2589
1540,1658,5189,3011,8243,3185,8334,3317,7990,801,6433,521
5177,1659,5188,3012,8242,322,1364,5022,2001,6517,4291,7003
2692,1660,5187,378,5579,2442,5222,2648,7850,3671,8263,3343
3854,1661,5186,3014,8240,1018,141,5746,1713,6703,1082,6157
543,1662,5185,401,5561,2484,5243,2663,7862,3711,8155,3137
4440,1663,5184,3016,8253,573,262,5958,1742,6704,4090,7214
8134,1664,5183,3017,8267,2772,315,5915,1655,1182,5827,1438
8132,1666,5181,3019,8295,2712,314,5916,1657,1183,5803,1659
8133,1665,5182,3018,8283,2841,316,5914,1653,1181,5804,1667
7317,1668,5179,3021,8293,2705,7787,2833,7445,4380,365,585
7316,1667,5180,3020,8294,2711,7781,2839,7439,4923,366,611
2655,1669,656,6412,4315,416,5632,1387,4943,419,2530,7507
4749,1670,361,5721,1791,5494,2533,7798,2909,5756,1632,5355
2912,1671,5178,3022,604,2094,5506,2442,5238,2433,5032,1847
3402,1672,2071,5207,2433,1046,397,5608,2436,5347,3060,466
6615,1673,5177,3023,8292,2764,277,5886,1614,6587,4431,7127
7499,1674,5176,3024,8291,2826,916,6371,3934,456,2706,941
3082,1675,5175,3025,8290,2824,7445,3131,139,1063,6154,3898
7293,1676,5174,3026,8289,189,5822,1572,5081,1443,6456,3625
6498,1677,5173,3129,7935,868,1346,4979,1870,1366,5866,1413
5399,1678,5196,3045,8277,341,1533,4646,2123,5427,2987,8333
2898,1679,1993,5245,2575,7846,320,5910,1644,482,2566,7414
8044,1680,5172,3130,7904,2320,5096,2512,7742,368,2805,8183
5575,1681,5197,340,5544,2637,7847,3484,8013,4332,6819,4547
3017,1682,2015,5289,2515,7861,3637,6923,4444,2323,477,5741
4258,1683,5199,3042,185,6034,1756,5347,2673,472,2599,7448
1652,1684,5222,171,979,6096,1693,562,5926,2132,5226,2578
4598,1685,5221,232,5942,4089,6653,3774,721,7842,3902,6589
7636,1686,5220,2979,8331,2973,7570,738,451,7202,4482,7147
4548,1687,325,5707,1749,5471,209,5938,1543,6649,4114,7373
2922,1688,5219,199,972,6103,1808,5326,2636,5891,1931,5100
8138,1689,245,5995,3892,6594,225,5924,1526,6119,2307,7694
3457,1690,5218,2981,8330,2972,655,6293,4006,1928,6322,3962
1984,1695,5213,2986,8265,476,5616,388,5906,3176,7826,3472
1985,1694,5214,2985,8296,473,5647,389,5905,3175,7827,3471
1986,1693,5215,2984,8268,475,5617,390,5904,3174,7828,3470
1987,1691,5217,2982,8328,474,5618,385,5909,3168,7834,3465
1988,1692,5216,2983,8297,472,5649,387,5907,2977,7771,2799
7166,1696,5212,3008,108,5863,1967,5418,2386,1535,276,5913
3233,1697,5211,423,5485,2597,7710,2901,7615,3888,8052,3523
3232,1698,5210,422,5486,2600,7707,2903,7613,3890,8050,3525
5482,1699,5209,3032,8285,382,5951,1406,4928,7509,907,6077
8692,1700,341,5693,1760,5462,2502,7779,2866,5640,2784,8201
8693,1701,340,5694,1759,5463,2501,7792,2855,5599,2825,8225
3247,1702,1293,4989,2641,7676,3064,8251,3398,499,7187,4249
8530,1703,5208,3033,8284,2842,7429,3144,8325,4080,333,5626
5311,1704,5207,3034,8282,2838,7432,242,4707,7426,722,6418
5312,1705,5206,3035,8269,2777,7488,243,4711,7424,721,6419
5313,1706,5205,3036,8281,2837,7433,244,4718,7466,723,6417
6318,1707,5204,1541,4549,7021,306,5890,1608,6593,4374,6937
8204,1708,5203,3038,932,6169,4078,7228,510,384,1105,6138
5043,1711,5200,3041,215,6068,1834,5273,2687,5973,1915,5113
5040,1710,5201,3039,213,6057,1713,4701,2070,5447,3024,8270
5042,1713,5170,3212,217,6066,1839,5283,2704,5908,1860,5394
5044,1709,5202,3031,218,6065,1842,5325,2637,5940,1843,5406
5041,1712,5198,3043,216,6067,1835,5272,2688,5972,1914,5114
4281,1714,5144,3221,8066,368,5960,1171,154,5136,1596,4736
7147,1715,5169,3235,8113,2360,5210,249,5017,7190,4470,7157
7148,1716,5141,3225,8062,2614,7694,248,5016,7191,4469,7158
608,1718,5139,428,5480,2431,5231,2671,651,8184,3629,6864
609,1717,5140,429,5479,2414,5305,2612,654,8173,3639,6857
229,1719,5138,351,673,6370,4126,7212,4350,7162,4545,7094
5630,1720,5137,396,5565,2491,326,875,6340,2945,5459,2369
6525,1722,5135,3252,8100,393,5808,1545,5048,7216,4498,7075
6524,1721,5136,3251,8088,394,5793,1544,5049,7215,4499,7074
7590,1723,5134,3253,8099,272,347,814,5701,2620,5721,1551
6616,1724,5133,3273,8024,2659,297,5870,1647,6679,4137,7357
8933,1725,5132,3275,171,6043,1731,4716,2056,774,343,5616
2991,1726,5131,3276,371,306,6002,1492,4915,856,5831,1457
8387,1727,1390,5069,1013,6125,1766,5337,2625,5824,2336,7848
6920,1729,5129,413,5492,2607,7700,2906,7610,3893,8047,3527
6921,1728,5130,412,5493,2608,7699,2907,7609,3894,8045,3529
5474,1730,1618,4935,2699,7546,2973,332,5675,2678,895,6088
4877,1731,267,5979,3959,6577,3964,6596,3785,1579,1341,4971
7264,1732,658,6410,4292,7258,3169,7993,3654,8232,197,5978
1869,1733,5128,156,5758,1250,6189,3861,6597,4782,7222,2958
566,1734,5127,3280,8021,995,6104,1458,612,8157,3704,472
1939,1735,5126,3281,8020,2650,7861,3472,8024,4355,6742,167
1937,1736,5125,3274,8023,2665,7881,3398,8091,4284,6647,166
1287,1737,5124,390,241,5991,2029,5120,1970,6491,4259,7323
8808,1740,5121,3286,8015,2645,7839,3489,8038,4369,340,5619
8809,1739,5122,3285,8016,2639,7845,3486,8037,4370,339,5620
8810,1738,5123,3284,8017,2630,7853,3479,8018,4338,338,5621
4442,1741,5120,3287,988,6087,1795,5369,2654,1976,5190,2444
4136,1742,1657,4850,2104,5179,399,5606,2438,5320,2493,7482
2105,1743,5119,3288,8014,316,5967,1389,614,2412,4993,1939
5592,1745,5118,3289,8013,877,6464,3647,6780,496,7165,4208
5593,1744,5142,3224,8063,916,6400,3704,6907,497,7175,4201
8225,1746,1717,5475,1465,4804,2445,650,200,5081,1459,4565
5263,1747,5143,3222,8065,2613,943,6049,1292,1954,5155,942
7143,1748,5145,3220,8067,2609,7698,2908,7608,3920,367,5536
5235,1749,5168,633,458,5660,1759,5344,2649,289,1950,517
4204,1750,5167,117,5725,2285,5152,680,5622,2958,5094,2475
2886,1751,1480,4824,2178,5351,2831,8201,3266,7886,3909,444
3616,1752,463,5812,1883,5583,278,5885,1615,6586,1474,4611
9068,1753,537,5753,1715,4868,2166,5264,2696,5892,375,5530
9067,1755,528,5761,1690,4876,2159,5211,2514,5847,374,5531
9066,1754,535,5755,1721,5172,2716,7590,2806,5676,373,5532
2714,1756,5166,733,6246,4661,2386,7686,2775,5653,2772,209
2715,1757,5165,730,6220,4649,2348,7651,2747,5923,1871,208
4224,1758,5164,3240,8109,1385,4915,1830,4825,2136,5222,2582
2624,1759,5163,416,5489,2602,7705,374,5862,3215,7720,2846
3376,1760,999,6141,4017,251,1471,4641,1065,2176,5244,2605
5453,1761,5162,3234,8114,2342,310,5907,1600,6600,4368,6941
3157,1762,1592,4901,830,6513,802,6414,3957,2345,5046,1891
6722,1763,5161,3242,694,6326,1313,4828,137,4820,7186,4250
4911,1764,1468,1429,4896,2731,7823,3444,8108,4319,6832,4539
2350,1765,5160,3244,8106,1189,1396,842,5733,3381,7694,2869
5513,1766,5159,3245,8105,2335,5143,2467,955,1811,6361,3684
2584,1767,384,5655,1773,5508,356,5583,2402,5352,3055,912
7989,1768,5158,3246,382,5721,1945,5407,2338,1322,436,5542
8587,1769,5157,3247,8104,2405,1288,4821,2163,5589,355,5604
3682,1770,5156,3249,695,6325,4112,7225,4368,481,2563,7417
590,1771,5155,337,5547,1302,4924,1821,921,6399,875,6049
1080,1772,1174,690,163,6051,1721,4726,112,651,534,5631
7625,1774,1122,6212,453,5665,2016,5102,1987,768,583,6298
7626,1773,1123,6211,454,5664,1873,5473,2280,985,603,6338
4703,1776,5153,3233,8102,2415,541,5733,183,5042,2750,546
4702,1775,5154,3243,8107,2326,549,5727,182,5041,2751,549
2207,1777,5152,250,5925,1658,4716,2181,5466,450,2396,7823
5061,1778,372,5722,302,5857,1973,5438,2369,5227,2500,7477
2466,1779,660,6408,497,2103,1602,4586,7092,983,5988,1441
7727,1780,5151,439,5469,2261,5203,2640,7858,3714,8139,3210
1251,1781,5150,1367,4923,2747,7807,216,5410,3161,1259,4990
4786,1782,1099,6289,3853,6598,3953,379,5858,3218,7704,2860
4789,1785,1102,6258,3837,6610,3890,373,5863,3207,7851,3448
4790,1786,1103,6257,3838,6609,3891,376,5860,3229,7557,2750
4788,1784,1101,6259,3836,6611,3889,372,5864,3212,7846,3453
4791,1783,1100,6287,3854,6623,3880,367,5869,3267,7575,2734
4787,1787,1098,6290,3852,6599,3952,378,5884,3132,7918,3475
2356,1788,5149,233,5941,1485,1524,4654,2115,5434,3035,8291
2571,1789,642,6421,4306,7337,3162,272,4917,404,3017,8246
1949,1790,1105,6227,3706,1559,1315,958,1077,6239,2020,5083
6646,1791,369,5725,1775,5507,2522,7806,2902,5762,2901,8162
9151,1792,5148,3217,1012,6114,1854,5312,2678,5981,1350,4964
4304,1794,5146,3219,8068,2605,7702,537,6008,3048,7710,2854
4305,1793,5147,3218,8069,2604,7703,538,6007,3033,7724,2783
8336,1795,309,5715,1768,5511,2594,7512,3118,7779,3323,8016
8334,1796,307,5717,1794,5491,2535,7796,2898,5764,2899,8164
8335,1797,308,5716,1790,5495,2532,7799,2908,5757,2958,8354
6345,1798,5223,2976,8334,3009,8210,238,4661,6921,1042,6178
446,1799,5171,313,5871,4337,7313,2935,7644,3910,8058,584
7477,1801,5279,3116,7978,479,5584,1783,4681,459,2710,7540
7478,1800,5224,2975,8335,480,5583,2230,5481,460,2690,7587
5057,1802,1062,6266,86,5881,279,5884,1616,6585,4433,151
6752,1803,5303,3082,7947,1364,4873,172,7937,4191,1080,6159
74,1804,5302,432,5476,2279,5187,2484,5262,2598,5713,1550
2863,1805,600,1679,580,5790,2027,5118,1972,767,6315,3969
7174,1806,5301,686,6287,4395,7028,262,5074,7345,391,5515
113,1807,5300,181,5827,823,6299,4064,1007,6033,2238,7755
2525,1808,257,5986,1327,2207,406,1269,6208,533,957,6016
5569,1809,5299,3086,7944,198,5845,1728,946,251,4196,7312
16,1810,5298,166,5749,1798,4838,1853,1220,6365,2095,5264
6629,1811,5297,3088,7942,2260,301,5867,1656,6750,4075,7221
4878,1812,1203,5061,2721,609,5770,1638,5025,1513,6427,3622
3709,1813,5296,3081,7948,2267,5198,2644,7854,223,4862,1830
4346,1814,474,5847,895,6459,3783,6567,3755,421,2537,7484
2952,1815,5295,3070,7957,1241,525,5687,497,467,2755,7568
1657,1817,5293,383,5574,1389,444,5512,2471,5340,2767,278
1656,1816,5294,382,5575,1388,446,5511,2472,5339,2475,292
2543,1818,5292,3055,8270,2778,1194,4877,2199,5513,3178,67
977,1819,5291,2183,1397,1904,5405,1136,166,1087,6157,3896
6287,1820,5290,369,5583,2448,5217,2627,7696,3658,8302,3249
5390,1821,593,6394,4383,7360,561,5718,1328,2098,555,5672
4310,1822,5289,3057,8116,270,5998,1495,4912,359,2963,8351
7064,1823,5288,177,5742,1845,4752,2173,1115,6205,2275,165
2859,1824,446,5828,1461,1068,6045,1432,4960,1729,1390,4629
7935,1827,459,5816,1892,5599,2602,7504,3185,7932,3837,637
7936,1825,461,5814,1885,5581,2616,7433,3012,5732,2975,687
7937,1826,460,5815,1890,5576,2644,7415,3017,5729,2978,689
500,1828,367,5727,1778,5504,2524,7804,2904,5760,2904,8159
2741,1829,5287,379,5578,2441,912,6375,3930,1580,6613,938
3677,1830,197,6074,4031,6761,241,1102,6420,2542,5541,2320
3039,1831,278,6027,3915,6549,3929,6684,3885,2188,1547,145
1747,1832,5286,3064,128,5907,1913,5496,2315,513,7101,4264
7488,1833,588,6315,3777,1365,558,991,6464,4664,7110,4288
7588,1834,5285,3065,7961,2616,7692,2881,7461,3828,8108,613
7589,1835,5284,3066,7960,2615,7693,2855,7458,3831,8105,551
8306,1836,5283,3067,7959,383,5950,1357,168,5169,2391,7857
11,1837,1846,190,754,6507,3798,6552,3769,8202,703,6256
5464,1838,1902,5546,1191,5057,2214,786,5787,3449,7641,2677
3165,1839,5282,3068,1121,6225,3978,6583,3798,993,5966,570
7651,1840,5281,3111,7983,2526,7773,2846,7434,4926,442,5716
1005,1841,5304,265,5852,4290,7410,3097,93,3583,8184,3160
8565,1842,5280,3113,7968,2634,7849,278,4871,7559,3543,6903
5101,1843,595,225,147,1759,458,5561,2481,5330,2484,7488
486,1845,5307,482,5673,2481,5246,702,5571,2840,5495,2392
487,1844,5305,481,5674,2480,5247,700,5573,2828,5344,2246
3406,1846,2012,5280,308,5710,829,6450,4129,8083,3970,7246
4385,1848,597,6392,4386,477,5586,1442,4894,7487,3614,6818
4386,1847,592,6395,4372,478,5585,1781,4683,7173,4538,7101
3301,1849,5330,295,5857,4351,7361,2960,7563,2208,4947,1755
5507,1850,5329,2229,5139,3313,7980,3605,287,1200,5846,1392
5509,1851,5328,2218,5149,3343,7895,3384,268,1201,5845,1393
5508,1852,5327,2209,5159,3330,7906,3434,271,1202,5844,1416
3420,1853,591,6396,305,5712,827,6452,4131,2397,5005,1927
5269,1854,5326,2227,5141,845,6458,3620,6741,1891,6298,186
7645,1855,1343,5169,2410,1279,308,5891,1607,6594,4373,6938
7338,1857,5324,2217,5151,3340,7898,3411,8080,324,452,5706
7339,1858,5323,2211,5157,3334,7904,3436,8116,323,453,5705
7340,1856,5325,2228,5140,3312,7982,3603,6754,322,451,5707
3857,1859,5322,2206,5162,3306,7988,3597,6787,409,3030,187
5279,1860,5321,2210,5158,1124,6059,1415,188,5005,2730,7584
5278,1861,5320,2214,5154,1123,6060,1414,187,5001,2733,7583
2439,1862,5319,2222,5146,3328,7909,3431,94,3584,8183,3145
8990,1865,5316,2230,5138,3314,7951,3574,500,7455,3567,6918
8992,1863,5318,2223,5145,3327,7910,3430,541,6867,4180,7383
8989,1866,5315,2208,5160,3308,7986,3599,496,7379,3505,6731
8991,1864,5317,2225,5143,3309,7985,3600,511,7440,3449,6720
4469,1867,5314,2207,5161,3307,7987,3598,6786,548,6737,4369
2764,1868,5313,2215,5153,3337,7901,3413,1021,536,7289,188
3114,1869,5312,2641,7436,1394,4909,1835,4821,381,2833,385
1163,1870,252,536,5678,250,5982,1345,162,5187,2348,7838
9174,1871,5311,2968,8339,2989,7587,298,578,7029,4837,1796
9175,1872,5310,3073,7955,2591,7690,296,575,7055,4852,1783
9138,1875,5306,3079,7950,585,5788,1548,5045,7219,4495,7077
9139,1873,5309,3074,7954,587,5786,1552,5070,7199,4461,7165
9140,1874,5308,3075,7953,588,5785,1553,5072,7298,4578,2019
9022,1876,5278,3117,7977,2469,5255,181,156,5106,2694,7553
9020,1878,5277,3118,7976,2643,7841,179,158,5109,2692,7555
9018,1879,5249,3050,8273,2780,7486,178,159,5112,2554,7423
9021,1877,5252,3107,7985,2512,7727,180,157,5107,2693,7554
4047,1884,5244,465,5505,2574,7671,2871,7471,3847,8090,3189
4045,1883,5245,461,5509,2581,7664,2877,7465,3824,8046,3528
4043,1881,5247,462,5508,2577,7668,2874,7468,3844,8093,3187
4046,1886,5242,464,5506,2575,7670,2872,7470,3846,8091,3176
4048,1882,5246,467,5503,2571,7673,2869,7473,3867,8127,3219
4044,1880,5248,466,5504,2572,7660,2810,7525,3817,7956,3592
4050,1885,5243,463,5507,2576,7669,2873,7469,3845,8092,3188
4867,1887,1279,5002,2707,7540,2952,8164,3267,7885,1450,4561
2534,1888,5241,389,805,6529,3942,6673,3716,8241,3791,6497
2320,1889,240,5998,3889,6595,1560,643,5625,1927,6323,1196
5275,1890,1555,4758,1984,5556,2684,7524,3105,872,404,5567
6291,1893,5238,1436,4588,7187,1130,6126,686,7651,3210,888
6292,1892,5239,1438,4586,7189,1131,6125,689,7625,3283,887
6290,1891,5240,1439,4585,7190,1133,6123,687,7654,3208,886
4898,1894,1793,5434,258,5979,898,6387,3979,8057,3943,6618
7421,1895,1303,5149,2481,7716,1047,6020,1266,6326,2110,452
6327,1897,5236,3001,8250,3245,1208,4853,2164,5588,326,5572
6329,1896,5237,3000,8251,3244,1209,4865,2210,5505,325,5573
3054,1898,5235,3002,8249,1916,1317,4826,2187,1632,6516,3784
5199,1899,5234,3003,8248,1331,4957,1960,96,3895,8033,3505
4619,1900,594,6393,4385,7358,3143,7955,3480,7601,3302,8018
1932,1901,5233,3004,600,1446,5050,1939,906,6489,1436,4586
3075,1902,5232,506,5652,2538,7761,857,5718,2971,7776,2794
3175,1903,1855,5583,1926,5601,2601,7505,3184,680,1707,5286
2827,1904,5231,2989,8262,1621,4712,1202,6034,1894,905,6079
6503,1905,351,5742,1662,4851,1144,6113,1380,1583,6610,3756
3535,1906,425,5679,1737,5478,2521,7807,2901,447,353,5606
7422,1907,5230,2988,8263,3240,8281,1012,6446,4655,319,5576
6316,1908,5229,2970,8337,2988,7588,850,82,3692,8296,3254
8817,1909,5228,2971,397,5652,1861,5306,2713,5902,1866,769
8819,1912,5226,2973,404,5647,1784,5379,2503,5854,1804,765
9333,1913,5251,3108,409,5645,1812,5293,2725,5914,1854,766
8818,1910,5227,2972,402,5649,1825,5269,2691,5969,1906,767
9334,1911,5250,3051,395,5654,1865,5302,2717,5899,1858,768
3390,1914,5253,3106,7986,2515,1177,6140,1398,1111,315,538
4570,1915,5276,3119,7975,2642,7842,3488,777,5900,1894,149
606,1916,5275,374,684,1971,5384,2322,722,7841,3903,6588
1765,1917,1620,375,5581,2445,933,6058,1323,6080,2167,1236
3196,1918,457,5806,644,1902,1503,4645,2124,867,5818,1428
4955,1919,5274,3120,7974,1700,4655,2012,5440,523,7406,3083
