id,PageRankRank,T0PRRank,T1PRRank,T2PRRank,T3PRRank,T4PRRank,T5PRRank,T6PRRank,T7PRRank,T8PRRank,T9PRRank
1925,95,201,6082,4076,2193,12,5823,1547,445,2393,970
3773,96,1409,5109,2467,7727,109,5770,1693,21,38,5836
3679,97,123,5890,698,6323,4166,7352,25,74,3935,6624
7222,98,6045,4623,323,901,124,5757,1723,216,88,5765
3387,99,194,6058,4,5940,2092,176,8250,4141,66,5845
2019,100,447,5827,1469,49,29,69,2622,2189,135,1109
5417,101,45,5972,3965,6573,20,375,5861,3230,267,5922
865,102,79,29,43,507,1635,121,1179,135,321,16
3453,103,289,6005,3881,6633,1383,5004,1931,516,21,5821
2966,104,6044,1055,6135,126,394,5611,2433,32,3787,838
3304,105,1726,5466,285,6016,1741,245,512,535,14,5826
2459,106,177,939,6062,181,21,1043,397,2740,5418,43
2108,107,1597,4924,2658,7519,578,5644,1387,27,1143,4860
1761,108,1068,39,5778,377,1080,1016,745,2196,5092,4
3964,109,68,5952,1189,1540,4980,709,5594,302,17,268
5523,110,6043,4626,2386,60,93,67,2449,1791,445,5713
1431,111,114,17,1250,4951,492,40,1725,833,1172,4894
7154,112,31,5926,68,5953,2071,5048,2032,5452,36,5810
2056,113,1897,5578,1932,97,14,5822,1549,6643,1109,800
1370,114,477,391,648,159,30,5819,581,275,4312,3
1603,115,207,6076,733,6352,113,44,367,2466,5603,46
326,116,954,739,593,218,5833,8,2736,1985,177,5935
3963,117,49,5969,33,5919,274,5888,1612,42,32,5813
21,118,956,9,387,388,5945,1366,71,4343,6781,819
2329,119,212,14,530,5835,773,117,7376,4978,2591,138
1346,120,6042,15,5793,4253,7374,371,5865,3234,7552,2721
3606,121,1603,4948,2686,7557,2997,138,6534,148,20,5809
583,122,6041,302,665,26,528,663,19,4136,6951,4150
3959,123,6040,4629,2383,16,56,319,75,2284,612,6330
1323,124,479,5855,639,162,178,273,4918,93,3993,815
3849,125,1677,4889,2111,143,323,10,3193,1110,381,5524
3630,126,6039,4631,170,6044,1730,4704,2067,750,11,5829
578,127,6038,1023,122,47,627,5666,7,260,4129,83
2205,128,6037,329,5705,52,35,302,6216,3361,7657,933
3559,129,78,5887,696,54,237,579,148,390,368,5535
1019,130,103,5874,823,6516,90,1247,6229,43,92,1053
3309,131,959,6109,3998,6726,4504,11,3173,7865,33,5812
2419,132,134,5907,187,6033,1444,149,607,39,75,5806
2468,133,1191,5015,2770,142,818,6400,3969,20,1171,1065
26,134,166,105,88,51,5867,1767,42,313,2184,5191
2385,135,280,69,439,211,54,5806,742,5715,2935,77
3543,136,89,5883,270,833,466,255,4987,141,41,553
46,137,6060,317,5867,34,5871,1762,542,140,3307,51
3422,138,178,19,513,5848,92,5840,1518,2131,5227,39
2378,139,6036,4625,2387,7736,159,36,1703,387,218,136
3658,140,284,6022,98,5872,233,84,58,90,61,5850
893,141,1011,204,14,5934,2048,5129,2274,297,68,5843
3378,142,362,5732,1726,5288,1465,4944,1876,15,188,1198
473,143,6061,37,5779,291,6012,1477,10,4164,6980,4187
2150,144,23,5933,26,5925,2057,5090,1940,91,900,6084
7509,145,65,5955,3926,6541,986,279,4925,7511,147,5781
1989,146,160,1524,880,6473,3772,6519,4094,30,51,5857
1361,147,16,5938,1034,6276,852,6412,3959,133,740,6428
4355,148,26,5930,47,5967,2003,880,6335,2969,47,5861
4596,149,191,74,5814,166,5809,1577,5077,7342,989,6179
4633,150,6063,4560,2200,5390,46,5810,775,44,370,125
3514,151,6086,4574,2236,74,63,140,1189,1884,6304,3980
539,152,6085,4576,337,71,47,31,4105,2348,613,378
5303,153,48,5970,151,5892,1901,5448,2333,557,44,5864
2384,154,6084,243,5931,429,84,22,602,8076,3977,7240
4356,155,57,5962,15,5933,2050,5127,1964,757,24,739
844,156,19,49,83,5912,86,1192,6042,843,85,898
2045,157,52,5967,48,5966,1495,4619,7119,102,95,5761
3986,158,2124,169,746,68,271,5921,53,1929,331,5600
1820,159,6083,4578,351,18,5874,1760,4642,70,3975,7242
1285,160,964,6106,7,1836,236,771,5744,410,1738,5319
2850,161,56,5963,710,6339,1119,6196,1645,462,31,5814
4876,162,6082,4570,2201,5389,2555,7485,3203,7925,19,171
388,163,950,182,1200,44,81,1167,1210,147,1788,110
2133,164,6081,4579,182,24,1695,607,9,111,1254,4995
1912,165,314,1473,997,73,5861,1773,67,17,3766,6516
1357,166,1019,6125,423,5633,1648,14,3003,235,414,63
3282,167,143,5900,1550,83,5857,1753,115,221,284,5906
4,168,1256,71,5817,115,694,6323,4011,165,3277,126
2940,169,6080,4584,2225,5379,542,15,3064,325,45,5863
4638,170,6079,4588,153,5890,1875,921,6351,424,34,5811
1786,171,214,53,5770,1725,4667,191,7646,3908,8035,40
2047,172,354,5739,10,2092,5507,2441,5239,86,121,5801
1474,173,32,1856,5420,1429,32,5804,1743,6705,4089,116
293,174,98,61,1273,770,484,610,648,8187,848,503
754,175,1941,218,5891,145,724,6,492,7410,1668,727
4972,176,504,5835,911,6159,4033,7231,4391,71,46,5862
40,177,6078,20,5790,4257,426,5527,2456,5303,2456,556
6487,178,85,1602,121,1078,932,554,5934,68,1030,923
748,179,6077,42,46,1083,6033,1508,31,2355,5091,717
1606,180,293,6013,3873,227,105,59,1310,6043,2228,524
1935,181,329,5703,1073,200,38,5815,1765,411,1513,106
2826,182,1512,4738,79,5913,1906,159,8051,337,28,1139
2277,183,6076,4568,157,5970,2001,5115,1975,213,22,5820
3221,184,6075,4567,2192,22,5873,353,5881,36,3796,6493
4917,185,47,5971,3966,190,243,560,34,4025,6862,4452
7192,186,1151,224,146,136,164,601,652,8166,991,6164
3110,187,21,5935,54,5962,1202,4871,2192,5497,293,5778
1046,188,405,1171,1337,192,5823,1571,1019,28,1170,4895
2173,189,109,5869,283,6018,744,6224,1771,252,4224,56
2521,190,320,27,5784,4264,7394,3110,8127,4176,6695,156
1259,191,975,26,5785,834,6294,4069,6617,4753,7086,4276
4516,192,6074,4548,2239,125,5885,37,1307,1407,553,5673
4679,193,162,6057,65,923,6393,3682,6925,62,1087,6152
3584,194,6073,4549,2238,27,5872,70,350,3345,7670,2831
4280,195,6072,4550,2211,1379,4862,18,4159,8088,144,5784
3108,196,971,6103,4055,29,533,5715,20,712,5614,1372
2220,197,91,5881,58,5959,2009,5108,1205,154,76,5775
3341,198,208,6075,31,5921,1539,4580,7098,204,4555,713
1601,199,375,5635,1665,2133,5539,20,4569,778,39,5837
7161,200,282,6024,3917,1985,150,5799,1751,1300,55,5854
3380,201,1332,5138,964,6139,4048,7260,4304,22,229,5894
6907,202,6071,24,5787,831,6295,4068,6618,4739,7097,4267
4025,203,6070,394,5567,57,634,5659,550,7091,4811,738
2866,204,6069,4554,2207,350,693,6324,3,4111,6999,131
759,205,6068,55,5796,4270,7422,25,4478,6854,4190,1241
3174,206,1298,4984,836,1321,4965,1953,948,31,172,5939
325,207,6067,213,5896,1064,6049,24,4460,78,1651,5337
4783,208,90,5882,164,6050,1722,4725,2074,137,283,5907
976,209,966,392,25,2059,910,961,1089,58,158,604
5148,210,99,154,5759,310,66,5857,1639,6615,1348,29
2591,211,203,6080,4052,191,103,620,1162,34,1590,874
6286,212,969,18,5791,4255,491,310,6467,4685,7146,4226
4609,213,210,6073,135,5902,1918,156,707,299,2319,7685
1253,214,970,184,126,5908,1497,1260,51,167,26,71
3602,215,448,836,1140,6228,4028,1254,6222,3349,29,5816
3735,216,6066,4557,2204,5375,2566,28,3855,8341,40,5838
2539,217,40,5945,846,1035,799,6417,3954,55,3624,6868
2398,218,6065,58,5813,4273,7420,3092,8141,4026,750,117
5356,219,6064,1057,6133,334,5925,1690,4701,7432,1480,17
413,220,1245,76,5812,31,753,6275,1385,6035,2236,7757
1265,221,941,6179,430,5683,2068,21,4515,6828,83,5769
1612,222,53,5966,3969,6572,37,966,6315,2329,5059,971
1201,223,276,1913,408,124,59,1030,6489,66,960,28
575,224,104,1618,13,5935,2067,5051,2031,211,120,5802
4297,225,6062,281,5838,104,348,38,18,4135,6952,4149
3842,226,6034,4613,2348,7757,3011,8329,3385,937,27,5817
710,227,475,5858,1156,2166,673,779,5794,187,23,5819
3620,228,413,5688,16,5932,2051,5126,1965,1335,194,5981
1591,229,262,5984,3954,6569,3968,111,980,288,160,1177
2630,230,6008,4126,261,5976,284,33,1395,6026,1400,678
2554,231,6033,1003,243,5990,2031,5146,2579,392,49,5859
3472,232,158,1341,27,5924,987,6040,1314,6063,2160,5199
5231,233,946,6146,32,5920,2060,5057,2025,1723,468,297
309,234,6005,990,5952,14,5875,1759,1209,6376,2060,643
4286,235,196,6059,62,5955,2040,5137,2586,1028,279,5910
1167,236,1935,5564,1937,1198,41,988,95,428,503,5689
2460,237,190,6036,173,6029,868,533,650,38,334,5625
2581,238,1797,5461,1495,59,1216,4859,1152,81,4030,7195
2097,239,6004,34,5781,4268,419,5532,2451,5308,2451,7813
2057,240,1896,5606,1229,1787,17,5821,1551,2056,67,5844
459,241,421,206,5901,105,5900,1665,4716,331,1901,5272
385,242,6003,145,64,132,1373,5014,2008,170,3565,62
4134,243,1278,5003,2733,95,5882,1736,4691,113,1720,5301
3019,244,108,5870,1638,1313,4973,2001,5419,626,124,5798
978,245,6002,38,389,5685,2045,5132,79,1079,6165,3860
2847,246,55,5964,1366,1121,128,5754,1732,73,1334,4919
7133,247,183,6041,1126,595,138,5748,1709,161,3288,8101
6548,248,188,6038,316,5705,144,5771,1690,1240,79,5772
2660,249,6001,4134,7368,3359,7939,26,4479,6866,175,5937
5163,250,25,5931,3940,6591,145,574,5943,3146,607,6335
969,251,275,6029,924,6148,893,6392,3977,282,130,1191
2592,252,383,5656,842,6448,58,1284,6251,87,162,80
5489,253,159,5975,1060,1408,4898,1790,4677,247,82,5770
6300,254,6000,99,5766,258,5975,1327,41,4314,6806,4529
1722,255,1357,5156,1325,5171,2742,7623,918,29,1097,139
4283,256,335,5698,611,902,6469,532,6012,82,4025,7230
4032,257,407,5636,1682,4836,57,5831,1573,1669,6414,3695
3627,258,44,5961,159,5971,199,5943,1563,1718,6276,4066
1785,259,1910,140,78,5915,1983,5428,996,182,3508,73
7413,260,5999,4136,101,5869,1929,5481,2330,195,103,628
547,261,5998,79,5811,100,5904,1660,528,6890,4738,2167
1200,262,69,219,9,5937,1684,4695,2105,5443,801,1169
3805,263,5997,4723,735,188,5821,462,877,145,736,6405
1965,264,456,5818,1858,2121,44,5812,1774,842,1399,1042
4274,265,5996,4139,7333,40,1281,4798,2266,457,2708,7529
33,266,5995,143,712,43,5870,1763,4640,6888,4739,2166
4452,267,1576,4916,2666,274,45,5811,1775,504,7260,178
1898,268,5994,4141,705,46,5869,1764,4639,6889,1156,42
4262,269,960,6108,1158,5627,2629,157,349,292,113,5793
4814,270,5993,120,5723,36,1439,64,218,4489,449,5709
2199,271,1911,1465,1219,5036,1596,600,5951,54,998,1073
3072,272,236,6000,298,6004,2017,5101,1962,6497,140,550
3506,273,957,6111,3995,828,131,220,4763,525,296,5746
1254,274,95,515,5692,2679,75,647,5678,2675,5640,1355
4037,275,135,5906,22,5927,2056,5105,1984,335,86,5767
7451,276,5992,4122,7365,3362,7936,113,7400,4904,48,5860
2871,277,1782,5418,192,157,121,5761,164,163,3299,252
3062,278,5991,1469,4616,7218,34,5816,1661,6746,4077,241
1098,279,5990,4120,28,127,5884,1718,4735,836,5929,1471
4295,280,5989,280,5839,173,5805,51,17,4134,6953,4148
3720,281,180,6043,3902,1513,60,5832,1572,6674,4116,153
3446,282,5988,4101,7336,37,1440,4959,1832,1492,910,6044
3569,283,1505,4745,1998,1324,4962,158,6807,671,98,5759
2091,284,5987,348,5538,2625,7858,50,1564,6656,133,5779
2586,285,34,5925,755,6506,357,5582,2403,5351,796,104
5450,286,62,5958,3923,6543,80,5848,1538,6654,4109,7376
3546,287,63,5957,3924,1348,39,5814,1766,6711,4058,7174
2636,288,5986,4103,7349,3353,7944,19,4357,2349,195,5980
5077,289,5985,4104,7363,3361,7937,96,7156,5111,50,5858
2155,290,943,93,5800,87,5854,1750,39,4043,6873,4443
5657,291,5984,4105,7379,3425,229,5953,1763,6714,4055,49
3841,292,1517,4734,2065,321,77,5850,1535,345,1910,5117
329,293,1029,25,5786,4261,7371,2952,7600,3954,6902,1019
3180,294,412,5677,1738,418,244,5972,1783,122,1546,4783
5451,295,204,6079,939,6191,51,5808,1757,838,5784,835
6624,296,1444,4793,703,6318,4171,7377,259,89,4010,856
1940,297,107,5871,17,5931,196,5945,1550,474,2601,44
1568,298,263,5983,37,5916,2063,1151,6139,3501,196,5979
3364,299,5983,4106,7391,158,5812,1587,5040,46,1742,5315
2266,300,6006,1458,4566,7036,1685,35,659,8247,3788,927
5085,301,1549,30,5782,4267,79,5849,1536,6483,4264,7021
4194,302,5982,4107,7390,752,6357,4011,12,4170,6974,694
4237,303,244,5996,848,6443,599,5627,531,209,1066,6112
2321,304,452,5823,1152,6084,393,341,788,132,431,217
1451,305,51,266,1383,5069,53,144,6881,1015,625,119
3516,306,346,77,5799,4272,286,5880,1603,6597,4371,23
3836,307,37,5922,3945,6587,3959,6599,3782,329,668,6229
888,308,506,5805,645,6421,3816,6475,4135,108,59,115
6522,309,470,334,5550,91,5880,1755,4645,6885,1147,4889
8384,310,6007,4127,7374,3420,8068,185,8133,217,52,5856
4023,311,316,1313,4941,376,52,5807,1741,2442,5026,851
6295,312,6009,1335,489,5807,1909,5500,2311,196,1203,431
1091,313,1751,52,5771,2236,5165,2506,6495,4606,7430,3091
2649,314,224,6065,103,5867,1959,5393,622,129,921,6004
739,315,6032,35,5780,1871,860,536,6009,3046,7712,879
7298,316,6031,4597,2365,111,1211,392,5903,1185,5830,1459
1697,317,983,346,5540,118,5891,444,55,4363,6735,55
7501,318,6030,4598,2363,7750,135,5751,757,100,850,124
2995,319,60,5959,3946,6586,312,5918,431,1082,6162,143
4275,320,6029,4599,2362,39,1252,4886,36,1554,6580,3723
1880,321,74,5919,1247,4954,2099,1068,6395,37,1702,5290
4145,322,6028,4600,2361,92,1349,73,43,1770,6234,4018
7790,323,6027,81,5810,120,5889,1679,4708,7425,3436,97
2037,324,39,5920,2810,137,1085,6167,1306,1854,1689,5332
4241,325,169,6051,384,5719,1938,5413,23,157,3222,625
4389,326,133,5908,1406,2107,5556,2384,5289,139,830,6386
2781,327,176,6033,995,6113,1824,182,8255,1789,78,5773
5070,328,6026,4602,2359,285,1069,6178,771,208,4818,2096
4038,329,6025,133,5711,2562,104,5802,1747,6726,4044,147
4690,330,6024,4604,2356,7752,3016,77,127,4989,1284,5027
3728,331,6023,4605,2345,7759,195,129,6644,4692,958,84
3068,332,256,5987,3952,6583,3961,455,5850,281,2086,5270
2410,333,6022,4606,554,5758,89,5842,70,552,396,65
2723,334,974,6101,728,206,5840,1737,269,138,3351,8051
811,335,6021,4607,97,1751,4819,1857,1145,106,3875,6653
5142,336,175,6045,232,5997,283,5881,1604,1270,5782,1646
2504,337,6020,1010,5996,657,5732,1622,5038,7197,4463,26
1821,338,155,5973,3964,6574,36,1048,6473,4679,7151,4221
7165,339,6019,4609,2352,7754,3014,8354,3361,1285,109,657
1834,340,6018,4610,92,5876,1890,5458,2294,75,56,5853
1302,341,313,85,5807,1243,524,5688,216,4530,7451,32
3032,342,126,1807,588,5783,989,6008,1705,6759,1704,19
5308,343,6017,4611,2350,153,5815,1581,837,92,3990,7288
205,344,6016,1004,301,5914,962,1203,1073,362,62,5849
2485,345,1063,6265,3831,88,1642,4764,2240,152,1639,1107
4524,346,67,5953,3928,6567,102,5803,1744,591,386,5520
2629,347,128,5913,40,5942,2088,5033,2018,398,157,5949
5059,348,1588,4905,266,5974,1997,137,6671,1916,250,5878
801,349,972,1222,111,295,6010,1408,163,214,4786,2093
4369,350,6015,4546,2268,53,922,6068,1256,1250,5774,1678
4506,351,408,1363,42,5957,2039,5138,2585,1124,239,5887
3037,352,387,134,5710,2563,134,150,6915,4510,7309,2889
5587,353,6014,4366,7112,3981,967,6087,1431,48,247,5868
1530,354,82,244,5930,966,611,5677,1464,6172,2258,340
1160,355,527,107,5730,870,6438,3640,6785,4429,7330,2902
1602,356,6013,4188,7320,1411,550,16,3088,7849,186,5928
6406,357,241,573,741,1039,791,6424,4125,8064,696,6262
5196,358,6012,4365,7113,3982,133,130,6654,1255,170,5940
