paper_id,pagerank,pagerankrank
1862,0.0017139435486085706,1
767,0.001711631045890361,2
1144,0.001711631045890361,3
1640,0.0016103290264470496,4
2020,0.0016103290264470496,5
4108,0.0014408502528784767,6
2438,0.0013829732199399953,7
3717,0.001367100457586191,8
2388,0.001329509750541588,9
2572,0.001329509750541588,10
2069,0.001329509750541588,11
2293,0.001329509750541588,12
895,0.0013133046663476458,13
3435,0.0013118683244188896,14
1316,0.001299391256899496,15
1542,0.0012913877303447757,16
1332,0.0012913877303447757,17
1052,0.0012913877303447757,18
1666,0.0012913877303447757,19
1372,0.0012897074747329328,20
1679,0.0012882439578862915,21
1380,0.0012842443725448155,22
1318,0.0012842443725448155,23
1063,0.0012842443725448155,24
1264,0.0012726182889640104,25
2070,0.0012706709066507157,26
2092,0.0012573110578326478,27
2605,0.0012525369225296198,28
1155,0.0012522751002721926,29
966,0.0012522751002721926,30
1283,0.0012522751002721926,31
4610,0.00123777544394144,32
3856,0.00123777544394144,33
3211,0.00123777544394144,34
2164,0.0012145902456417155,35
1472,0.0012108775483221676,36
338,0.0012092273046519018,37
1482,0.0012092273046519018,38
522,0.0012092273046519018,39
909,0.0012003588649864394,40
948,0.0012003588649864394,41
2466,0.0011870085419537937,42
2411,0.0011815482421491808,43
4474,0.0011695782193341996,44
4036,0.0011619913505133404,45
1011,0.0011558266862184412,46
2195,0.001140703180353676,47
2203,0.0011387658162560592,48
2058,0.0011387658162560592,49
514,0.0011375479110969067,50
430,0.0011375479110969067,51
199,0.0011375479110969067,52
1042,0.001112604346837914,53
4311,0.0011087865047146217,54
3996,0.0011087865047146217,55
2740,0.001098830596427794,56
2468,0.001098830596427794,57
4505,0.0010974277983775472,58
5013,0.0010974277983775472,59
5022,0.001097236054692074,60
906,0.0010845466824524503,61
989,0.0010751523179787306,62
2234,0.001068874622239589,63
1449,0.0010655460856594417,64
655,0.001064798539358064,65
3863,0.00105264022978801,66
714,0.0010454251132257031,67
964,0.0010433171526462513,68
919,0.0010433171526462513,69
724,0.0010433171526462513,70
2513,0.0010424710753204735,71
2882,0.0010343195056634607,72
4350,0.0010293486039307787,73
3868,0.001023425327826656,74
2480,0.0010233610376620256,75
2063,0.0010233610376620256,76
2332,0.0010233610376620256,77
1845,0.0010233610376620256,78
2024,0.0010199435017287013,79
981,0.001013767904862655,80
951,0.001013767904862655,81
764,0.0010137679048626547,82
3193,0.001006361832915092,83
2905,0.001006361832915092,84
3599,0.0010041551367743998,85
3324,0.0010037824825834222,86
1335,0.001003178890317966,87
1661,0.0010015756287449985,88
1111,0.0009977917629701006,89
1221,0.0009969386245564367,90
3432,0.0009925501380184962,91
2647,0.0009910625738830732,92
1710,0.0009875228630994593,93
1102,0.0009874452407572173,94
1126,0.0009874452407572173,95
428,0.0009823997961547171,96
3516,0.0009823997961547171,97
2048,0.0009823997961547171,98
1277,0.0009823997961547171,99
1904,0.0009823997961547171,100
2794,0.0009789947030002868,101
2416,0.0009745358820608263,102
3846,0.0009702340652710949,103
3462,0.0009658608921092557,104
5128,0.0009476427832928231,105
3246,0.0009450455732996566,106
2282,0.0009439690847599607,107
2569,0.0009434076700141055,108
4939,0.0009359697686147059,109
1253,0.0009329986974222786,110
4412,0.0009315095460174554,111
4425,0.0009315095460174554,112
4178,0.0009314677820019864,113
3889,0.0009314677820019864,114
241,0.0009243429617532386,115
1563,0.0009188381259886823,116
2611,0.000909697387449646,117
3740,0.0009078538465106661,118
1949,0.0009076432061508444,119
4841,0.000906848481507476,120
5255,0.0009042798579339985,121
819,0.0008962291831646606,122
2594,0.0008960899921419663,123
3542,0.0008930915614018638,124
3115,0.0008870116489787111,125
5431,0.0008840759909128323,126
5104,0.0008838784730609279,127
4122,0.0008804842085509663,128
4902,0.0008757113790136667,129
2187,0.000874279793803698,130
4550,0.0008682912573971617,131
1153,0.000868089254396995,132
1575,0.0008677458424450982,133
2809,0.0008634865341392961,134
2617,0.0008634865341392961,135
2574,0.0008634865341392961,136
2637,0.0008632958110335223,137
2914,0.0008592558097121638,138
3406,0.0008533969265931456,139
4351,0.0008511533477434148,140
2074,0.0008502464700716323,141
2698,0.0008489784831405406,142
2455,0.0008476395064386884,143
3546,0.0008446313174057475,144
3685,0.0008446313174057475,145
3833,0.000844581568784364,146
1503,0.0008425108196358148,147
4102,0.0008413478931306006,148
1925,0.000836727931207821,149
1695,0.0008322892274815131,150
2257,0.0008316519615241607,151
3584,0.0008311209707605777,152
5231,0.0008272657953838571,153
6215,0.0008264096200573768,154
1886,0.000824631961475366,155
5755,0.0008244294828533481,156
2817,0.0008214336384361077,157
2878,0.0008149979740679502,158
3201,0.0008142675637832659,159
4462,0.0008086087956280591,160
2150,0.0008070737321762411,161
2055,0.0008070737321762411,162
2907,0.0008070168074802541,163
3693,0.0008068441534638109,164
1677,0.0008061860507437871,165
2718,0.0008057184986886455,166
3482,0.0008039414658648765,167
3836,0.0008023225621297076,168
3716,0.0008023225621297076,169
4853,0.0008010320265045361,170
1594,0.0008007053088666599,171
2944,0.0008004061795260281,172
4677,0.0007993922536371187,173
3396,0.0007987710639805541,174
1392,0.0007981528869475385,175
4546,0.000794310869947402,176
1691,0.0007926432241302819,177
2036,0.0007860756781444508,178
1880,0.0007838556824340444,179
5300,0.000783167288240449,180
5877,0.000783167288240449,181
4673,0.0007830802232038616,182
798,0.0007819007903039068,183
845,0.0007819007903039068,184
329,0.0007819007903039068,185
2757,0.0007790948705981757,186
4461,0.0007765582832501786,187
5888,0.0007744071350557643,188
2810,0.0007730110064551316,189
1290,0.0007718534118182532,190
3165,0.0007717253703197218,191
3440,0.0007709728086480945,192
4486,0.0007686032650024408,193
2439,0.0007679788534709085,194
2657,0.0007679788534709085,195
2451,0.0007679788534709085,196
1689,0.0007679788534709085,197
3526,0.0007679788534709085,198
1833,0.0007679788534709085,199
3586,0.0007679788534709085,200
2196,0.0007679788534709085,201
1891,0.0007679788534709085,202
1839,0.0007677927238317144,203
1715,0.0007676956473053016,204
2275,0.0007659682674366736,205
4026,0.0007635385621344916,206
1457,0.0007622596999315723,207
3399,0.0007610867250993245,208
4788,0.0007609072546863559,209
5797,0.0007599001052373959,210
5870,0.0007592195510349102,211
371,0.0007584564353989272,212
6483,0.0007565906190095855,213
3689,0.0007564718335984872,214
1379,0.0007530636750390396,215
3234,0.0007510379910743966,216
2417,0.0007474473956714947,217
5647,0.0007471670572386162,218
2158,0.0007469717091106179,219
5073,0.0007466908218680688,220
4394,0.0007436069388358026,221
3208,0.0007416156122865383,222
5257,0.0007413096769901932,223
4683,0.0007386263046973064,224
5029,0.0007386263046973064,225
3128,0.0007366576164690525,226
3649,0.0007365999936422634,227
4414,0.0007364001450707068,228
5138,0.0007358714208747404,229
1723,0.0007357325700826846,230
2924,0.0007317986484579805,231
955,0.0007314183328095259,232
2587,0.0007298467271228293,233
5026,0.0007267222145192507,234
2566,0.0007263903677871053,235
3340,0.0007256403635268083,236
5024,0.0007253821959555937,237
3075,0.0007236127521262846,238
3608,0.0007226590403242526,239
6241,0.0007219717235849668,240
1158,0.0007214056946695409,241
926,0.0007214056946695409,242
1307,0.0007214056946695409,243
1636,0.0007214056946695409,244
837,0.0007214056946695409,245
2749,0.0007191310615642621,246
2628,0.0007189727624229841,247
1556,0.0007188754732329207,248
2169,0.0007134681220055032,249
1284,0.0007124604984718448,250
1143,0.0007124604984718448,251
6425,0.0007117559541976332,252
5883,0.0007099098841475398,253
5454,0.0007099098841475398,254
4431,0.0007085759855441214,255
6240,0.0007080066209447086,256
5657,0.0007075863065984096,257
962,0.0007071159275818521,258
4082,0.0007058575260588692,259
1810,0.000705774742640095,260
2953,0.0007054500590597562,261
4089,0.0007043431134605311,262
3034,0.0007040421925508532,263
3194,0.0007038202599471341,264
2148,0.0007035528038153348,265
4266,0.0007033754502493048,266
1204,0.0007022399640107935,267
820,0.000701835157023141,268
3178,0.0006998438462092803,269
4159,0.000699763597133939,270
1721,0.0006993071456486274,271
3307,0.0006988228451528081,272
4038,0.0006986364801341034,273
2276,0.0006982781908411816,274
5092,0.0006980364538213878,275
3110,0.0006978572373386783,276
5422,0.0006964775026328124,277
2394,0.0006964310971260703,278
1491,0.0006963035231292015,279
5063,0.0006958495316090357,280
1696,0.000694028591833964,281
1748,0.000693563632101718,282
3313,0.0006927620852587957,283
5277,0.0006908670414898,284
1847,0.0006907836397844723,285
282,0.0006907760275721646,286
1907,0.0006892986524086919,287
1672,0.0006892986524086919,288
3138,0.0006889630441888089,289
3332,0.0006881816353689593,290
5804,0.0006874169053683482,291
5384,0.000686604320785097,292
273,0.0006865869042151079,293
5037,0.0006865619413547531,294
3141,0.0006864334337601756,295
2761,0.000685929610715552,296
2604,0.000685929610715552,297
3750,0.0006856825303806842,298
6324,0.0006849201940938858,299
2589,0.0006849195847510743,300
1521,0.0006826323725082562,301
6426,0.0006818472064130966,302
2001,0.000681706211651754,303
2419,0.000681706211651754,304
992,0.0006811921118038632,305
3824,0.0006795388052686267,306
1504,0.000678166810713616,307
3231,0.0006770825767515493,308
2857,0.0006766294913781273,309
448,0.0006757294093063927,310
413,0.000673557116373127,311
1819,0.0006719475502068674,312
4001,0.000670833870113654,313
4128,0.0006703992174753945,314
4365,0.0006703992174753945,315
534,0.000670244396525114,316
4802,0.0006700482777594368,317
3383,0.0006697711318466153,318
3633,0.0006697711318466153,319
2447,0.0006667307652225417,320
5938,0.0006658746971220285,321
5696,0.0006647558303584768,322
4303,0.000663894694389981,323
2207,0.0006635527200331296,324
2473,0.0006635527200331296,325
2586,0.0006635527200331296,326
2590,0.0006635527200331296,327
2900,0.0006635527200331296,328
3019,0.0006621969461962955,329
5820,0.0006619964315644562,330
2651,0.0006613562761734597,331
888,0.0006609846454513033,332
6185,0.0006608237858776507,333
3518,0.0006607846083890975,334
2177,0.0006595056733561176,335
2548,0.0006584905501136132,336
2752,0.0006584905501136132,337
2103,0.0006584905501136132,338
2246,0.0006584905501136132,339
2141,0.0006580349882026398,340
2284,0.0006580349882026398,341
2715,0.0006579268472118926,342
214,0.0006576540792450858,343
4401,0.0006569332573251236,344
2925,0.0006559890144469143,345
3253,0.0006548909180871099,346
5034,0.0006547403795672127,347
5806,0.0006537607876428117,348
2400,0.0006528948063285941,349
5239,0.0006510744630336272,350
5038,0.0006503012899989739,351
3763,0.0006497101668139949,352
3904,0.0006497101668139949,353
3095,0.0006479919863010077,354
119,0.0006479795092032289,355
3532,0.0006478880913338621,356
5079,0.0006475087238604194,357
2827,0.0006473284364402831,358
1633,0.000647182081272441,359
1477,0.000647182081272441,360
5287,0.0006445014961453288,361
1154,0.0006433676199948922,362
2267,0.0006417102207921018,363
4269,0.0006397623738541415,364
800,0.0006382608556601489,365
5917,0.0006377374489121561,366
2072,0.000637515470639452,367
3474,0.0006343953568369669,368
3916,0.0006337934044097074,369
5425,0.0006328007105928992,370
1572,0.0006316750555420454,371
3301,0.0006315216060305832,372
5475,0.0006312843763118364,373
2429,0.0006307175197198548,374
2661,0.0006307175197198548,375
1532,0.0006307175197198548,376
1268,0.0006307175197198548,377
4208,0.0006306438590024899,378
1613,0.0006304613556645172,379
2724,0.0006304186297186229,380
626,0.0006302794152478262,381
846,0.0006302794152478262,382
6214,0.0006295654574365424,383
1125,0.0006269629801197916,384
5491,0.0006267914219239663,385
2272,0.0006263956917993408,386
2717,0.0006263956917993408,387
2672,0.0006245219966611071,388
2683,0.0006238776648957288,389
3102,0.0006238776648957288,390
3311,0.0006238776648957288,391
4615,0.0006225156724144059,392
1816,0.000622457117753611,393
2301,0.000622430480906577,394
3279,0.0006222068991830728,395
5507,0.0006217198289821917,396
5399,0.0006188998929508677,397
4921,0.0006188998929508677,398
5492,0.0006187040440505506,399
674,0.0006179123183334116,400
884,0.0006176500687831531,401
1071,0.0006176500687831531,402
1367,0.000617363949929166,403
2843,0.0006172488135834693,404
915,0.0006162906478793282,405
983,0.0006162906478793282,406
2073,0.0006158909946060216,407
4007,0.0006158332621277657,408
604,0.0006156358475133125,409
3480,0.0006155802170887662,410
429,0.0006151507594712588,411
292,0.0006149576275748296,412
2957,0.0006144385780117898,413
4668,0.0006141458300518691,414
2990,0.0006137475123304266,415
3329,0.0006137475123304266,416
4293,0.0006135794654584205,417
5913,0.0006126729778215383,418
4582,0.0006122955071040238,419
3583,0.0006122905986417874,420
581,0.0006120456752339794,421
5173,0.0006105023874004128,422
5023,0.0006099124402466477,423
3446,0.0006085674177489138,424
6303,0.000606481284839099,425
4138,0.0006064273995202658,426
2951,0.0006058431293683622,427
3074,0.0006055699402186613,428
2645,0.0006055699402186613,429
2518,0.0006055699402186613,430
5250,0.0006038959313551435,431
4655,0.0006024795814563612,432
5961,0.0006015101904327346,433
4825,0.0006013946865081973,434
6110,0.000601180026000295,435
2464,0.0006008654740518595,436
4424,0.0006006818139800824,437
3053,0.0006003667856523556,438
3927,0.0006003667856523556,439
122,0.0005996824274469886,440
5607,0.0005993093412135884,441
4652,0.0005988229503448857,442
5444,0.0005987125393585916,443
5861,0.0005982065235288292,444
6573,0.0005976604032803484,445
5578,0.0005972552776796812,446
4114,0.0005972150753948363,447
2082,0.0005970497189312241,448
1514,0.0005954279632232289,449
1424,0.0005954279632232289,450
1293,0.0005954279632232289,451
4411,0.0005933173418355696,452
3048,0.0005929954680397808,453
1906,0.0005928396367539037,454
1362,0.0005905707392939036,455
4808,0.0005901730295609981,456
78,0.0005900056247303409,457
5324,0.0005898807482025587,458
3536,0.000589518744798208,459
2937,0.000589518744798208,460
3872,0.000589518744798208,461
498,0.0005889583634522272,462
318,0.0005889583634522272,463
3567,0.0005886926000984028,464
1324,0.0005886726702451819,465
3888,0.0005875585198982683,466
4552,0.0005874935601802369,467
4992,0.0005874935601802369,468
378,0.000587368774285152,469
1900,0.000587368774285152,470
1750,0.0005869378696406649,471
5726,0.0005863378326555478,472
778,0.0005857045914160418,473
690,0.0005857045914160418,474
5152,0.0005848436006950509,475
2412,0.000583881224181893,476
4443,0.0005837370060314944,477
2297,0.0005833631732201876,478
5347,0.0005817985413165663,479
4923,0.0005814835006556951,480
3931,0.0005803839820715132,481
5554,0.0005801413535349592,482
4938,0.0005797044744537156,483
5733,0.0005787998363967718,484
3365,0.000578383921390592,485
4014,0.0005779266601685426,486
5080,0.000577825603258152,487
2965,0.0005775922028234355,488
2623,0.0005773834051770226,489
234,0.0005771051195059897,490
5935,0.0005764247556785705,491
