affiliation,cited by count,first name,first name (orig),h-index,id,last name,last name (orig),subject areas
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60025778', 'affiliation-id': '60025778', 'affiliation-name': 'University Michigan Ann Arbor', 'affiliation-city': 'Ann Arbor', 'affiliation-country': 'United States'}",4.0,Sougata,Sougata,1.0,8682,Chaudhuri,Chaudhuri,"[{'@abbrev': 'COMP', '@frequency': '9', '$': 'Computer Science (all)'}, {'@abbrev': 'MATH', '@frequency': '2', '$': 'Mathematics (all)'}, {'@abbrev': 'ENGI', '@frequency': '1', '$': 'Engineering (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60030612', 'affiliation-id': '60030612', 'affiliation-name': 'University of California, San Diego', 'affiliation-city': 'San Diego', 'affiliation-country': 'United States'}",0.0,Moein,Moein,0.0,8683,Falahatgar,Falahatgar,"[{'@abbrev': 'MATH', '@frequency': '10', '$': 'Mathematics (all)'}, {'@abbrev': 'COMP', '@frequency': '8', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '1', '$': 'Engineering (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60030612', 'affiliation-id': '60030612', 'affiliation-name': 'University of California, San Diego', 'affiliation-city': 'San Diego', 'affiliation-country': 'United States'}",37.0,Mesrob I.,Mesrob I.,3.0,8684,Ohannessian,Ohannessian,"[{'@abbrev': 'COMP', '@frequency': '19', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '8', '$': 'Engineering (all)'}, {'@abbrev': 'MATH', '@frequency': '5', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60102450', 'affiliation-id': '60102450', 'affiliation-name': 'Shanghai Urban Construction Design &amp; Research Institute', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}",12.0,Jiasen,Jiasen,2.0,8685,Lu,Lu,"[{'@abbrev': 'ENGI', '@frequency': '9', '$': 'Engineering (all)'}, {'@abbrev': 'MATE', '@frequency': '1', '$': 'Materials Science (all)'}, {'@abbrev': 'MULT', '@frequency': '1', '$': 'Multidisciplinary'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60092860 60092860', 'affiliation-id': '60092860 60092860', 'affiliation-name': 'Bei Jing University of Civil Engineering and Architecture', 'affiliation-city': 'Beijing Beijing', 'affiliation-country': 'China China'}",113.0,Jianwei,Jianwei,5.0,8686,Yang,Yang,"[{'@abbrev': 'ENGI', '@frequency': '64', '$': 'Engineering (all)'}, {'@abbrev': 'COMP', '@frequency': '32', '$': 'Computer Science (all)'}, {'@abbrev': 'MATH', '@frequency': '11', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60000745', 'affiliation-id': '60000745', 'affiliation-name': 'University of Illinois at Urbana-Champaign', 'affiliation-city': 'Urbana', 'affiliation-country': 'United States'}",224.0,Yujia,Yujia,7.0,8687,Li,Li,"[{'@abbrev': 'ENGI', '@frequency': '12', '$': 'Engineering (all)'}, {'@abbrev': 'COMP', '@frequency': '9', '$': 'Computer Science (all)'}, {'@abbrev': 'PHYS', '@frequency': '8', '$': 'Physics and Astronomy (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60022756', 'affiliation-id': '60022756', 'affiliation-name': 'Washington University in St. Louis, School of Medicine', 'affiliation-city': 'St Louis', 'affiliation-country': 'United States'}",1668.0,Saurabh Pratap,Saurabh,23.0,8688,Singh,Singh,"[{'@abbrev': 'BIOC', '@frequency': '52', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'MEDI', '@frequency': '29', '$': 'Medicine (all)'}, {'@abbrev': 'PHAR', '@frequency': '16', '$': 'Pharmacology, Toxicology and Pharmaceutics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60000745', 'affiliation-id': '60000745', 'affiliation-name': 'University of Illinois at Urbana-Champaign', 'affiliation-city': 'Urbana', 'affiliation-country': 'United States'}",3543.0,Derek,Derek,32.0,8689,Hoiem,Hoiem,"[{'@abbrev': 'COMP', '@frequency': '111', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '20', '$': 'Engineering (all)'}, {'@abbrev': 'MATH', '@frequency': '12', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60005681', 'affiliation-id': '60005681', 'affiliation-name': 'Tel Aviv University', 'affiliation-city': 'Tel Aviv-Yafo', 'affiliation-country': 'Israel'}",957.0,Isaac,Isaac,18.0,869,Meilijson,Meilijson,"[{'@abbrev': 'MATH', '@frequency': '47', '$': 'Mathematics (all)'}, {'@abbrev': 'COMP', '@frequency': '37', '$': 'Computer Science (all)'}, {'@abbrev': 'BIOC', '@frequency': '24', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/112198357', 'affiliation-id': '112198357', 'affiliation-name': 'Adobe Research', 'affiliation-city': 'San Jose', 'affiliation-country': 'United States'}",112.0,Mehmet Ersin,Ersin,6.0,8690,Yümer,Yumer,"[{'@abbrev': 'COMP', '@frequency': '24', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '17', '$': 'Engineering (all)'}, {'@abbrev': 'MATH', '@frequency': '5', '$': 'Mathematics (all)'}]"
