,id,topics
110,1099,"[(13, 0.37265465143483528), (15, 0.32489524389481578)]"
111,11,"[(1, 0.82100818286257093)]"
112,110,"[(1, 0.47403060761294008)]"
113,1100,"[(1, 0.29123044947653048), (6, 0.22821908142337038), (13, 0.28288492562411421)]"
114,1101,"[(13, 0.55567622071928635)]"
115,1102,"[(0, 0.4213756506751235), (1, 0.24862755444460169), (13, 0.23024755265000502)]"
116,1103,"[(17, 0.32061408846195977)]"
117,1104,"[(1, 0.98242980449250583)]"
118,1105,"[(1, 0.34377637936009131)]"
119,1106,"[(0, 0.26252345402602378), (1, 0.46659926711607275)]"
120,1107,"[(1, 0.76528293307386752)]"
121,1108,"[(6, 0.46167186064340487), (19, 0.35120848749742911)]"
122,1109,[]
123,111,[]
124,1111,"[(13, 0.50339759674649232)]"
125,1112,"[(13, 0.69846627400321615), (19, 0.28360796423515472)]"
126,1113,"[(6, 0.82826918524053061)]"
127,1114,"[(13, 0.56234439064993347)]"
128,1115,"[(6, 0.30814301843588299), (18, 0.31652093084656935)]"
129,1116,"[(1, 0.73591970151682307)]"
130,1117,"[(16, 0.33023068471458999)]"
131,1118,"[(9, 0.73570776985633557)]"
132,1119,"[(13, 0.78880193793396258)]"
133,112,"[(3, 0.72311309753786279)]"
134,1120,"[(3, 0.78954499275935064)]"
135,1121,"[(13, 0.22498684895816762)]"
136,1122,"[(13, 0.30935584847708242), (14, 0.55241470759453271)]"
137,1123,"[(1, 0.46295124139074417), (5, 0.30818921141285244)]"
138,1124,"[(5, 0.21969062277465287), (14, 0.23171789446737626)]"
139,1125,"[(1, 0.22033278758184571), (5, 0.57305897937130612)]"
140,1126,"[(1, 0.23889535290821362), (13, 0.67938881618360025)]"
141,1127,"[(6, 0.23821288895452991), (13, 0.74657000198650059)]"
142,1128,"[(1, 0.41491230920975347), (3, 0.30931099539279977)]"
143,1129,"[(3, 0.9269565990811498)]"
144,113,"[(0, 0.23779985557087222), (1, 0.24683424215566027), (3, 0.30188835053122404)]"
145,1130,[]
146,1131,"[(6, 0.59158782665558451)]"
147,1132,"[(6, 0.2188317438940672), (14, 0.36024803669062533)]"
148,1133,[]
149,1134,"[(1, 0.49432868300284905), (3, 0.45614034192711078)]"
150,1135,"[(3, 0.73736876837847487)]"
151,1136,"[(6, 0.26836189229708562), (13, 0.58518137010335158)]"
152,1138,"[(1, 0.37293775702976506), (5, 0.20347388469830713)]"
153,1139,"[(13, 0.28240179724277997), (15, 0.35850613772260626)]"
154,114,"[(1, 0.21915628466812953), (13, 0.60302910968720014)]"
155,1140,"[(6, 0.50686910972941213)]"
156,1141,"[(1, 0.51410552596997994)]"
157,1142,"[(13, 0.25387022616878513)]"
158,1143,[]
159,1144,"[(13, 0.22342317987443869), (16, 0.74444506603831018)]"
160,1145,"[(3, 0.69236654769391182), (5, 0.20663658381194491)]"
161,1146,"[(3, 0.66598594043779369)]"
162,1147,"[(6, 0.30329487974938896), (13, 0.2297854176159303), (19, 0.32302325951422983)]"
163,1148,"[(10, 0.20756378028288894)]"
164,1149,"[(1, 0.84443026569783552)]"
165,115,"[(3, 0.37481653603763371), (5, 0.33751054649101198)]"
166,1150,"[(1, 0.44671720396016362), (3, 0.20415181269995689)]"
167,1151,"[(1, 0.30209715212487065), (13, 0.67702411103610627)]"
168,1152,"[(13, 0.75143827011403963)]"
169,1153,"[(1, 0.2533553581501497), (16, 0.52731668232886553)]"
170,1154,"[(1, 0.32596591734245961), (3, 0.32617359736605628)]"
171,1155,"[(13, 0.31538343894133325), (14, 0.28693999492458244)]"
172,1156,"[(6, 0.20411302092619768), (13, 0.44354732716367123)]"
173,1157,"[(3, 0.30027750984534712)]"
174,1158,"[(3, 0.28765397523056341)]"
175,1159,"[(0, 0.21002163493896311), (1, 0.22564967477190231), (3, 0.20237035408892359)]"
176,116,"[(16, 0.36472421778335046)]"
177,1160,"[(13, 0.45346558248435703), (15, 0.25690992091100939)]"
178,1161,"[(6, 0.61235222025513592)]"
179,1162,"[(1, 0.2886994133525399), (13, 0.66512432745848771)]"
180,1163,"[(1, 0.33580431035875613), (6, 0.45739950715967709)]"
181,1164,"[(3, 0.42788273206981975)]"
182,1165,"[(13, 0.5150632172614672), (17, 0.2059914517481311)]"
183,1166,"[(1, 0.2399954940477049), (15, 0.3212917805640888)]"
184,1167,"[(13, 0.57353630329136851), (16, 0.26526866982809905)]"
185,1168,"[(1, 0.63888978451160949)]"
186,1169,"[(5, 0.35031527856196315)]"
187,1170,"[(1, 0.79140067666744229)]"
188,1171,"[(6, 0.60042004342664834), (17, 0.20843919786799628)]"
189,1172,"[(13, 0.33693626497042117), (15, 0.23924382419340767)]"
190,1173,"[(5, 0.28270269265149794)]"
191,1174,[]
192,1175,"[(13, 0.97167472852644721)]"
193,1176,"[(13, 0.73352150836176)]"
194,1177,"[(13, 0.35316403967031057)]"
195,1178,[]
196,1179,"[(5, 0.52747027839702887), (14, 0.26246907098106015)]"
197,118,"[(1, 0.31384402680209217), (6, 0.34684284937961041), (13, 0.32999373173451174)]"
198,1180,"[(1, 0.6427539748727259)]"
199,1181,"[(6, 0.82641323548000134)]"
200,1182,"[(13, 0.84893297207847995)]"
201,1183,"[(13, 0.2368018547227527), (19, 0.28981153211167532)]"
202,1184,"[(13, 0.27169881357475534), (19, 0.55749938248666564)]"
203,1185,"[(13, 0.33699949876988566)]"
204,1186,"[(6, 0.30937817092627568)]"
205,1187,"[(6, 0.37807742253587451), (19, 0.45915463498839976)]"
206,1188,"[(3, 0.31581279436118326), (5, 0.48629083458972377)]"
207,1189,"[(13, 0.77491998956633068)]"
208,119,"[(1, 0.25698327519936043), (13, 0.74030243539758467)]"
209,1190,"[(5, 0.31196015441467789)]"
210,1191,"[(13, 0.50808106529947239), (14, 0.49022681827383818)]"
211,1192,"[(1, 0.52822796494622781), (3, 0.26311057143917199)]"
212,1193,"[(0, 0.3557082226522984), (1, 0.20236938676902094), (3, 0.29398992400124424)]"
213,1194,"[(17, 0.53547380096548836)]"
214,1195,"[(6, 0.23736187512359067), (18, 0.30092357817680032)]"
215,1196,"[(1, 0.22605566485019449), (13, 0.75950441500070798)]"
216,1197,"[(13, 0.55543736190315351), (14, 0.42112955462683588)]"
217,1198,"[(6, 0.48811633534915055), (13, 0.25078585095038375)]"
218,1199,"[(3, 0.74833008088568354)]"
219,12,"[(3, 0.32816409703011173), (5, 0.28553113227012189)]"
220,120,"[(5, 0.33228124538658504)]"
221,1200,[]
222,1201,"[(13, 0.76341869222034253)]"
223,1202,"[(13, 0.21243158308464072), (14, 0.57772507471003731)]"
224,1203,"[(13, 0.32093005933268404), (19, 0.46756249966184699)]"
225,1204,"[(19, 0.65700006995934823)]"
226,1205,[]
227,1206,[]
228,1207,"[(6, 0.36504715380964092)]"
229,1208,"[(6, 0.35451283067787798), (16, 0.25698875040910479)]"
230,1209,[]
231,121,"[(1, 0.39385656418800025)]"
232,1210,"[(10, 0.6146530335178062)]"
233,1211,"[(13, 0.36092956573780038), (14, 0.4179252610822608)]"
234,1212,"[(1, 0.27479916575302782), (5, 0.23268252778308071), (7, 0.25408522659555283)]"
235,1213,"[(3, 0.480358185901201)]"
236,1214,"[(10, 0.24139988836285148), (16, 0.27683062269159481), (17, 0.26012495224004734)]"
237,1215,"[(1, 0.50397041055509351), (13, 0.33791741155432836)]"
238,1216,"[(3, 0.37656268768831386)]"
239,1217,"[(16, 0.39600360163361314)]"
240,1218,"[(14, 0.57852974535982682)]"
241,1219,"[(6, 0.2410505288056948), (19, 0.50592659513502769)]"
242,122,"[(1, 0.73801231316224591)]"
243,1220,"[(13, 0.36035892984487078), (16, 0.26014674632994977)]"
244,1221,"[(13, 0.71521603215721119)]"
245,1222,"[(3, 0.8132303766097857)]"
246,1223,"[(1, 0.28198962149068202), (9, 0.25624823521219386)]"
247,1224,"[(3, 0.24955485239647701)]"
248,1225,"[(6, 0.23699236906878815), (13, 0.58908993451473946)]"
249,1226,"[(1, 0.56172907687502627)]"
250,1227,"[(6, 0.40289885777991147), (10, 0.2656371589817299)]"
251,1228,"[(3, 0.27373268221269759)]"
252,1229,[]
253,123,"[(1, 0.2746004861842366), (10, 0.54871307132474323)]"
254,1230,[]
255,1231,"[(1, 0.23348654468255681), (6, 0.23221474712095991), (13, 0.52307069860765065)]"
256,1232,"[(13, 0.29447281119075736), (14, 0.61272768720297366)]"
257,1233,"[(6, 0.20257963104405075), (13, 0.60081018397587294)]"
258,1234,"[(6, 0.615640023484468), (16, 0.28030606406969483)]"
259,1235,"[(5, 0.47714596996056946)]"
260,1236,"[(1, 0.58501490836981351), (3, 0.28415089869170024)]"
261,1238,"[(6, 0.50410444771976759), (13, 0.28861905552565681)]"
262,1239,"[(1, 0.20614015298868815), (6, 0.48109125277655734)]"
263,124,[]
264,1240,"[(13, 0.64999756595189939)]"
265,1241,"[(0, 0.37026304746259775), (6, 0.27445865286615245)]"
266,1242,"[(6, 0.6075700483072316)]"
267,1243,"[(13, 0.66219862366184867)]"
268,1244,"[(3, 0.24671859583365482)]"
269,1245,"[(13, 0.47012519653403784), (14, 0.21682731386813958)]"
270,1247,"[(13, 0.64117785251954507)]"
271,1248,"[(6, 0.24707133371649526), (13, 0.22791978974803398), (19, 0.21531177015285502)]"
272,1249,"[(5, 0.64362447198454409)]"
273,125,"[(1, 0.2443310648428223), (6, 0.25523052319407752), (17, 0.32630256122210094)]"
274,1250,"[(0, 0.31092119173286681), (1, 0.59371257406510114)]"
275,1251,"[(5, 0.21722590740715955), (13, 0.40253037209616033), (18, 0.21525975806641318)]"
276,1252,"[(13, 0.95083927820375658)]"
277,1253,"[(6, 0.76297776717054244)]"
278,1254,"[(6, 0.73888547595691945)]"
279,1255,[]
280,1256,"[(13, 0.79922006099549037)]"
281,1257,[]
282,1258,"[(1, 0.75366727639124609)]"
283,1259,"[(17, 0.56900541952103934)]"
284,126,"[(3, 0.74151896029685183)]"
285,1260,"[(6, 0.232182979990356), (10, 0.40884942099265731)]"
