row_id,id,topics
125,1120.0,"[(0, 2), (1, 2), (2, 1)]"
126,1122.0,"[(2, 3), (0, 2), (7, 2), (8, 1)]"
127,1123.0,"[(1, 1), (3, 1)]"
128,1124.0,"[(8, 1), (9, 1)]"
129,1125.0,"[(1, 1)]"
130,1126.0,"[(1, 1)]"
131,1128.0,"[(3, 1)]"
132,1129.0,"[(3, 1)]"
133,113.0,"[(1, 4), (6, 2), (3, 1)]"
134,1130.0,"[(1, 1), (3, 1)]"
135,1131.0,"[(1, 1), (3, 1)]"
136,1132.0,"[(5, 1)]"
137,1133.0,"[(1, 1)]"
138,1134.0,"[(1, 1)]"
139,1135.0,"[(1, 1)]"
140,1136.0,"[(1, 1)]"
141,1137.0,"[(3, 1)]"
142,1138.0,"[(0, 1), (1, 1), (3, 1), (9, 1)]"
143,1139.0,"[(3, 1), (6, 1)]"
144,114.0,"[(1, 3), (6, 2), (3, 1)]"
145,1140.0,"[(1, 1)]"
146,1141.0,"[(1, 4), (0, 3), (7, 2), (2, 1), (4, 1)]"
147,1142.0,"[(0, 1)]"
148,1143.0,"[(7, 6), (2, 5), (0, 4), (8, 1)]"
149,1144.0,"[(1, 3), (0, 1), (9, 1), (3, 1), (6, 1)]"
150,1145.0,"[(0, 1), (1, 1)]"
151,1146.0,"[(1, 2), (6, 2)]"
152,1147.0,"[(1, 4)]"
153,1148.0,"[(1, 3)]"
154,1149.0,"[(1, 7)]"
155,115.0,"[(1, 2), (2, 1)]"
156,1150.0,"[(3, 1)]"
157,1151.0,"[(3, 2), (0, 1), (1, 1), (9, 1)]"
158,1152.0,"[(1, 4), (3, 3), (5, 2), (9, 1)]"
159,1153.0,"[(3, 1)]"
160,1154.0,"[(3, 1)]"
161,1155.0,"[(8, 2), (1, 2), (2, 1)]"
162,1158.0,"[(6, 1)]"
163,1159.0,"[(5, 2)]"
164,116.0,"[(1, 1), (3, 1)]"
165,1160.0,"[(1, 4), (0, 1), (3, 1)]"
166,1161.0,"[(1, 1), (6, 1), (7, 1)]"
167,1162.0,"[(1, 4), (6, 1), (0, 1), (5, 1)]"
168,1163.0,"[(1, 4), (3, 4), (6, 2), (0, 2)]"
169,1164.0,"[(1, 1), (9, 1)]"
170,1165.0,"[(3, 1)]"
171,1166.0,"[(0, 1), (1, 1)]"
172,1167.0,"[(4, 6), (5, 2), (3, 2), (7, 2), (6, 2), (0, 1), (8, 1)]"
173,1168.0,"[(1, 1), (9, 1)]"
174,1169.0,"[(1, 1), (9, 1)]"
175,117.0,"[(1, 1), (3, 1)]"
