id,cluster
1536,73
1537,24
1538,46
1539,19
154,72
1540,61
1541,83
1542,48
1543,24
1544,18
1545,5
1546,8
1547,78
1548,69
1549,24
155,75
1550,48
1551,54
1552,41
1553,45
1554,67
1555,57
1556,51
1557,26
1558,54
1559,73
156,72
1560,54
1561,19
1562,71
1563,4
1564,35
1565,32
1567,62
1568,5
1569,53
157,71
1570,53
1571,8
1572,79
1573,48
1574,51
1575,4
1576,28
1577,2
1578,63
1579,63
158,68
1580,53
1581,46
1582,8
1583,28
1584,59
1585,6
1586,3
1587,8
1588,28
1589,76
159,8
1590,61
1591,8
1592,59
1593,4
1594,64
1596,62
1597,49
1598,72
1599,28
16,68
160,75
1600,52
1601,82
1602,61
1603,3
1604,77
1605,72
1606,72
1607,3
1608,3
1609,61
161,76
1610,14
1611,81
1612,59
1613,77
1614,26
1615,12
1616,47
1617,35
1618,76
1619,75
162,42
1620,79
1621,75
1622,11
1623,53
1624,63
1625,11
1626,59
1627,48
1628,75
1629,61
163,65
1630,77
1631,35
1632,48
1633,83
1634,54
1635,83
1636,72
1637,28
1638,76
1639,53
164,7
1640,35
1641,35
1642,63
1643,35
1644,41
1645,7
1646,78
1647,76
1648,9
1649,72
165,48
1650,34
1651,41
1652,24
1653,5
1654,8
1655,6
1656,83
1657,79
1658,8
1659,34
166,79
1660,24
1661,45
1662,5
1663,7
1664,29
1665,3
1666,48
1667,3
1668,59
1669,73
167,79
1670,59
1671,11
1672,24
1673,24
1674,12
1675,6
1676,73
1677,15
1678,75
1679,35
168,52
1680,5
1681,64
1682,5
1683,78
1685,39
1686,53
1687,2
1688,65
1689,11
169,57
1690,79
1691,23
1692,7
1693,63
1694,5
1695,71
1696,69
1697,63
1698,54
1699,45
17,57
170,79
1700,53
1702,67
1703,79
1704,6
1705,79
1706,41
1707,78
1708,53
1709,63
171,82
1710,62
1711,5
1712,7
1713,9
1714,24
1715,4
1716,3
1717,21
1718,45
1719,5
172,79
1720,8
1721,12
1722,5
1723,4
1724,81
1725,8
1726,19
1727,12
1728,78
1729,59
173,75
1730,59
1731,51
1732,79
1733,43
1734,73
1735,2
1736,4
1737,48
1738,27
1739,11
174,71
1740,3
1741,64
1742,61
1743,54
1744,39
1745,24
1746,78
1747,56
1748,28
1749,54
175,66
1750,59
1751,76
1752,83
1753,18
1754,28
1755,2
1757,64
1758,83
1759,75
1760,75
1761,61
1762,53
1763,3
1764,53
1765,53
1766,45
1767,64
1768,64
1769,6
177,73
1770,3
1771,7
1772,3
1773,43
1774,74
1775,3
1776,73
1777,51
1778,24
1779,63
178,78
1780,69
1781,78
1782,71
1783,79
1784,62
1785,61
1786,9
1787,28
1788,52
1789,46
179,7
1790,2
1791,2
1792,59
1793,8
1794,21
1795,38
1796,78
1797,45
1798,56
1799,8
18,8
180,71
1800,19
1801,76
1802,7
1803,53
1804,61
1805,48
1806,5
1807,71
1808,45
1809,83
181,68
1810,18
1811,3
1812,19
1813,82
1814,7
1815,38
1816,82
1817,54
1818,23
1819,53
182,74
1820,8
1821,29
1822,2
1823,41
1824,75
1825,5
1826,11
1827,6
1828,73
1829,79
183,76
1830,58
1831,5
1832,4
1833,12
1834,73
1835,59
1836,71
1837,74
1838,61
1839,49
184,8
1840,28
1841,52
1842,74
1843,59
1844,43
1845,51
1846,53
1847,28
1848,33
1849,28
185,68
1850,6
1851,82
1852,72
1853,18
1854,12
1855,45
1856,24
1857,34
1858,59
1859,55
186,75
1860,83
1861,9
1862,2
1863,67
1864,12
1865,14
1866,47
1867,81
1868,4
1869,2
187,8
1870,12
1871,53
1872,52
1873,2
1874,59
1875,7
1876,7
1877,61
1878,59
1879,11
188,68
1880,15
1881,53
1882,8
1883,72
1884,81
1885,78
1886,56
1887,8
1888,3
1889,6
189,67
1890,35
1891,11
1892,28
1893,5
1894,83
1895,72
1896,4
1897,24
1898,53
1899,43
19,72
190,59
1900,64
1901,49
1902,83
1903,67
1904,75
1905,67
1906,12
1907,64
1908,53
1909,59
191,67
1910,83
1911,32
1912,77
1913,77
1914,11
1915,28
1916,6
1917,27
1918,63
1919,42
192,42
1920,63
1921,59
1922,7
1923,79
1924,16
1925,63
1926,53
1927,53
1928,8
1929,54
193,72
1930,7
1931,48
1932,39
1933,65
1934,64
1935,5
1936,3
1937,76
1938,54
1939,53
194,28
1940,35
1941,3
1942,6
1943,6
1944,3
1945,34
1946,2
1947,41
1948,27
1949,24
195,69
1950,76
1951,3
1952,41
1953,26
1954,41
1955,26
1956,27
1957,78
1958,1
1959,44
196,82
1960,69
1961,37
1962,59
1963,11
1964,44
1965,19
1966,77
1967,8
1968,11
1969,72
197,68
1970,11
1971,71
1972,67
1973,58
1974,53
1975,3
1976,5
1977,75
1978,21
1979,41
198,67
1980,5
1981,28
1982,82
1983,3
1984,32
1985,3
1986,32
1987,64
1988,81
1989,51
199,26
1990,53
1991,75
1992,16
1993,6
1994,76
1995,8
1996,2
1997,19
1998,23
1999,28
2,74
20,8
200,67
2000,83
2001,33
2002,2
2003,48
2004,5
2005,27
2006,82
2007,5
2008,24
2009,47
201,69
2010,48
2011,77
2012,45
2013,59
2014,2
2015,63
2016,53
2017,3
2018,76
2019,54
202,35
2020,12
2021,79
2022,55
2023,11
2024,2
2025,71
2026,27
2027,5
2028,7
2029,33
203,69
2030,8
2031,83
2032,75
2033,21
2034,76
2035,35
2036,4
2037,7
2038,83
2039,27
204,6
2040,11
2041,49
2042,12
2043,48
2044,3
2045,79
2046,5
2047,49
2048,3
2049,21
205,71
2050,29
2051,12
2052,9
2053,32
2054,7
2055,5
2056,8
2057,34
2058,8
2059,7
206,73
2060,59
2061,33
2062,24
2063,49
2064,11
2065,34
2066,19
2067,59
2068,34
2069,34
207,68
2070,49
2071,19
2072,2
2073,9
2074,6
2075,82
2076,79
2077,41
2078,14
2079,71
208,71
2080,52
2081,49
2082,53
2083,41
2084,45
2085,24
2086,5
2087,2
2088,83
2089,1
209,83
2090,5
2091,42
2092,41
2093,53
2094,3
2095,42
2096,18
2097,45
2098,61
2099,8
21,74
210,73
2100,2
2101,39
2102,53
2103,28
2104,72
2105,11
2106,37
2107,34
2108,2
2109,62
211,68
2110,78
2111,7
2112,79
2113,11
2114,54
2115,79
2116,3
2117,6
2118,3
2119,6
212,67
2120,24
2121,18
2122,46
2123,2
2124,81
2125,21
2126,59
2127,4
2128,12
2129,32
213,68
2130,51
2131,3
2132,2
2133,2
2134,28
2135,4
2136,13
2137,71
2138,23
2139,41
214,77
2140,3
2141,53
2142,79
2143,32
2144,14
2145,59
2146,45
2147,3
2148,2
2149,46
215,8
2150,19
2151,8
2152,81
2153,49
2154,11
2155,5
2156,7
2157,61
2158,51
2159,2
216,75
2160,38
2161,6
2162,23
2163,6
2164,46
2165,53
2166,46
2167,59
2168,53
2169,6
217,74
2170,7
2171,3
2172,33
2173,5
2174,54
2175,8
2176,38
2177,58
2178,52
2179,2
218,57
2180,53
2181,38
2182,34
2183,4
2184,59
2185,5
2186,53
2187,21
2188,8
2189,8
219,79
2190,8
2191,23
2192,28
2193,2
2194,53
2195,52
2196,12
2197,62
2198,43
2199,48
22,67
220,8
2200,61
2201,83
2202,2
2203,5
2204,3
2205,2
2206,34
2207,22
2208,32
2209,57
221,77
2210,58
2211,83
2212,59
2213,28
2214,24
2215,41
2216,2
2217,62
2218,6
2219,27
222,69
2220,37
2221,3
2222,45
2223,41
2224,5
2225,57
2226,35
2227,7
2228,3
2229,82
223,82
2230,5
2231,82
2232,44
2233,79
2234,44
2235,7
2236,75
2237,79
2238,5
2239,46
224,59
2240,5
2241,32
2242,7
2243,67
2244,44
2245,81
2246,51
2247,81
2248,11
2249,6
225,66
2250,18
2251,74
2252,48
2253,54
2254,27
2255,11
2256,8
2257,2
2258,24
2259,54
226,45
2260,18
2261,14
2262,41
2263,39
2264,21
2265,45
2266,42
2267,11
2268,77
2269,8
227,68
2270,78
2271,61
2272,1
2273,6
2274,45
2275,6
2276,62
2277,25
2278,41
2279,46
228,83
2280,21
2281,39
2282,28
2283,6
2284,41
2285,49
2286,61
2287,48
2288,6
2289,53
229,75
2290,53
2291,45
2292,41
2293,18
2294,81
2295,43
2296,46
2297,2
2298,64
2299,48
23,8
230,77
2300,2
2301,27
2302,35
2303,3
2304,52
2305,23
2306,8
2307,8
2308,6
2309,4
231,5
2310,81
2311,73
2312,83
2313,64
2314,78
2315,61
2316,2
2317,43
2318,71
2319,28
232,72
2320,8
2321,6
2322,32
2323,61
2324,8
2325,39
2326,76
2327,2
2328,28
2329,82
233,7
2330,8
2331,79
2332,51
2333,14
2334,82
2335,78
2336,5
2337,79
2338,6
2339,38
234,68
2340,41
2341,38
2342,82
2343,71
2344,24
2345,11
2346,53
2347,27
2348,75
2349,38
235,77
2350,5
2351,2
2352,58
2353,6
2354,36
2355,6
2356,73
2357,2
2358,53
2359,58
236,62
2360,13
2361,41
2362,2
2363,7
2364,43
2365,9
2366,46
2367,32
2368,37
2369,8
237,67
2370,54
2371,6
2372,33
2373,17
2374,54
2375,8
2376,63
2377,24
2378,28
2379,5
238,72
2380,3
2381,61
2382,48
2383,54
2384,8
2385,43
2386,6
2387,11
2388,16
2389,8
239,8
2390,3
2391,27
2392,3
2393,18
2394,83
2395,8
2396,41
2397,44
2398,59
2399,53
24,79
240,6
2400,63
2401,78
2402,8
2403,2
2404,37
2405,7
2406,41
2407,34
2408,78
2409,59
241,6
2410,19
2411,35
2412,53
2413,3
2414,78
2415,78
2416,14
2417,2
2418,3
2419,2
242,71
2420,28
2421,2
2422,78
2423,51
2424,3
2425,77
2426,61
2427,38
2428,41
2429,51
243,67
2430,28
2431,22
2432,48
2433,14
2434,21
2435,24
2436,78
2437,34
2438,37
2439,11
244,81
2440,13
2441,8
2442,8
2443,58
2444,19
2445,41
2446,82
2447,37
2448,28
2449,42
245,48
2450,7
2451,43
2452,71
2453,11
2454,8
2455,28
2456,3
2457,18
2458,77
2459,53
246,82
2460,5
2461,2
2462,45
2463,59
2464,34
2465,46
2466,19
2467,54
2468,45
2469,34
2470,4
2471,8
2472,8
2473,12
2474,61
2475,78
2476,28
2477,4
2478,2
2479,51
248,75
2480,53
2481,64
2482,59
2483,5
2484,42
2485,3
2486,41
2487,8
2488,34
2489,48
249,8
2490,8
2491,3
2492,76
2493,53
2494,78
2495,11
2496,2
2497,58
2498,37
2499,2
25,57
250,69
2500,4
2501,5
2502,58
2503,32
2504,8
2505,35
2506,8
2507,16
2508,14
2509,77
251,73
2510,36
2511,72
2512,21
2513,21
2514,78
2515,77
2516,5
2517,53
2518,43
2519,28
252,82
2520,6
2521,45
2522,78
2523,3
2524,71
2525,27
2526,41
2527,6
2528,49
2529,48
253,72
2530,54
2531,37
2532,48
2533,79
2534,52
2535,43
2536,1
2537,3
2538,4
2539,78
254,82
2540,5
2541,3
2542,59
2543,42
2544,11
2545,29
2546,54
2547,58
2548,81
2549,11
255,79
2550,4
2551,78
2552,3
2553,59
2554,7
2555,61
2556,6
2557,35
2558,39
2559,41
256,73
2560,2
2561,64
2562,67
2563,78
2564,63
2565,38
2566,8
2567,62
2568,48
2569,28
257,68
2570,51
2571,54
2572,8
2573,3
2574,48
2575,2
2576,6
2577,53
2578,43
2579,44
258,78
2580,4
2581,53
2582,82
2583,23
2584,44
2585,41
2586,11
2587,49
2588,8
2589,79
259,42
2590,5
2591,48
2592,3
2593,42
2594,2
2595,5
2596,15
2597,3
2598,8
2599,35
26,42
260,71
2600,12
2601,46
2602,41
2603,45
2604,59
2605,7
2606,11
2607,35
2608,8
2609,5
261,72
2610,41
2611,59
2612,53
2613,42
2614,51
2615,2
2616,58
2617,32
2618,59
2619,41
262,67
2620,3
2621,32
2622,62
2623,52
2624,54
2625,43
2626,4
2627,41
2628,15
2629,7
263,68
2630,5
2631,53
2632,44
2633,48
2634,11
2635,48
2636,44
2637,11
2638,56
2639,41
264,61
2640,41
2641,62
2642,62
2643,79
2644,3
2645,43
2646,58
2647,58
2648,6
2649,79
265,7
2650,33
2651,58
2652,62
2653,44
2654,61
2655,17
2656,4
2657,12
2658,62
2659,42
266,76
2660,6
2661,38
2662,8
2663,62
2664,3
2665,2
2666,34
2667,49
2668,27
2669,44
267,66
2670,2
2671,67
2672,38
2673,48
2674,8
2675,81
2676,2
2677,2
2678,45
2679,37
268,41
2680,48
2681,36
2682,34
2683,81
2684,61
2685,2
2686,2
2687,53
2688,38
2689,59
269,74
2690,67
2691,49
2692,41
2693,24
2694,8
2695,8
2696,48
2697,8
2698,24
2699,42
27,67
270,77
2700,15
2701,2
2702,2
2703,78
2704,29
2705,45
2706,49
2707,67
2708,41
2709,2
2710,53
2711,54
2712,5
2713,2
2714,27
2715,76
2716,79
2717,2
2718,36
2719,7
272,83
2720,6
2721,27
2722,21
2723,29
2724,4
2725,19
2726,48
2727,3
2728,6
2729,13
273,68
2730,32
2731,8
2732,62
2733,49
2734,48
2735,62
2736,5
2737,8
2738,1
2739,8
274,48
2740,7
2741,35
2742,43
2743,2
2744,71
2745,53
2746,6
2747,76
2748,2
2749,71
275,66
2750,79
2751,58
2752,83
2753,23
2754,78
2755,11
2756,12
2757,17
2758,6
2759,2
276,79
2760,41
2761,51
2762,12
2763,12
2764,53
2765,8
2766,36
2767,3
2768,64
2769,82
277,43
2770,21
2771,15
2772,62
2773,73
2774,45
2775,48
2776,53
2777,5
2778,29
2779,1
2780,21
2781,5
2782,83
2783,5
2784,27
2785,3
2786,32
2787,2
2788,37
2789,35
279,75
2790,11
2791,53
2792,21
2793,17
2794,7
2795,8
2796,6
2797,59
2798,11
2799,6
28,78
280,72
2800,66
2801,53
2802,76
2803,78
2804,37
2805,6
2806,11
2807,51
2808,22
2809,48
281,7
2810,4
2811,35
2812,5
2813,11
2814,6
2815,3
2816,2
2817,41
2818,17
2819,41
282,83
2820,48
2821,11
2822,51
2823,81
2824,8
2825,9
2826,29
2827,28
2828,4
2829,4
283,72
2830,58
2831,44
2832,53
2833,34
2834,3
2835,4
2836,8
2837,61
2838,62
2839,11
284,7
2840,78
2841,83
2842,52
2843,7
2844,42
2845,82
2846,48
2847,57
2848,6
2849,78
285,8
2850,4
2851,11
2852,79
2853,78
2854,15
2855,54
2856,2
2857,64
2858,79
2859,79
286,72
2860,12
2861,2
2862,21
2863,6
2864,8
2865,16
2866,54
2867,53
2868,54
2869,64
287,73
2870,41
2871,39
2872,9
2873,74
2874,53
2875,76
2876,81
2877,32
2878,18
2879,37
288,73
2880,41
2881,5
2882,6
2883,45
2884,18
2885,78
2886,27
2887,49
2888,81
2889,82
289,69
2890,4
2891,2
2892,39
2893,82
2894,76
2895,53
2896,41
2897,53
2898,33
2899,58
29,67
290,78
2900,19
2901,59
2902,4
2903,19
2904,39
2905,14
2906,19
2907,69
2908,18
2909,6
291,67
2910,29
2911,39
2912,51
2913,37
2914,2
2915,34
2916,7
2917,59
2918,3
2919,49
292,29
2920,11
2921,62
2922,36
2923,78
2924,48
2925,22
2926,62
2927,61
2928,1
2929,23
293,57
2930,59
2931,8
2932,8
2933,18
2934,41
2935,11
2936,6
2937,56
2938,1
2939,76
294,63
2940,54
2941,49
2942,4
2943,44
2944,45
2945,45
2946,45
2947,8
2948,4
2949,6
295,69
2950,82
2951,3
2952,41
2953,37
2954,33
2955,68
2956,3
2957,6
2958,3
2959,43
296,72
2960,36
2961,22
2962,24
2963,12
2964,58
2965,28
2966,6
2967,53
2968,33
2969,16
297,72
2970,2
2971,45
2972,11
2973,1
2974,27
2975,59
2976,61
2977,21
2978,1
2979,58
298,71
2980,23
2981,8
2982,11
2983,45
2984,44
2985,8
2986,8
2987,11
2988,54
2989,21
299,76
2990,32
2991,2
2992,44
2993,9
2994,49
2995,9
2996,33
2997,37
2998,5
2999,1
3,7
30,68
300,7
3000,4
3001,22
3002,32
3003,6
3004,53
3005,8
3006,81
3007,11
3008,58
3009,59
301,75
3010,6
3011,79
3012,11
3013,23
3014,4
3015,24
3016,61
3017,24
3018,55
3019,24
302,75
3020,38
3021,62
3022,38
3023,5
3024,6
3025,24
3026,5
3027,19
3028,79
3029,58
303,7
3030,6
3031,79
3032,19
3033,18
3034,21
3035,58
3036,51
3037,61
3038,12
3039,19
304,73
3040,59
3041,19
3042,59
3043,37
3044,4
3045,51
3046,37
3047,44
3048,55
3049,16
3050,3
3051,7
3052,32
3053,32
3054,61
3055,51
3056,2
3057,35
3058,43
3059,7
306,74
3060,37
3061,5
3062,46
3063,62
3064,16
3065,7
3066,12
3067,2
3068,11
3069,41
307,74
3070,8
3071,39
3072,41
3073,24
3074,12
3075,7
3076,59
3077,46
3078,71
3079,39
308,63
3080,41
3081,62
3082,13
3083,59
3084,34
3085,61
3086,21
3087,28
3088,8
3089,5
309,73
3090,46
3091,11
3092,28
3093,81
3094,66
3095,59
3096,42
3097,28
3098,3
3099,2
31,78
310,77
3100,36
3101,49
3102,8
3103,5
3104,58
3105,54
3106,79
3107,13
3108,5
3109,7
311,82
3110,5
3111,59
3112,58
3113,19
3114,76
3115,41
3116,41
3117,35
3118,38
3119,19
312,63
3120,43
3121,2
3122,58
3123,79
3124,8
3125,43
3126,62
3127,59
3128,36
3129,49
313,67
3130,53
3131,62
3132,21
3133,54
3134,21
3135,12
3136,6
3137,41
3138,37
3139,34
314,66
3140,45
3141,51
3142,48
3143,21
3144,14
3145,5
3146,77
3147,18
3148,37
3149,38
315,68
3150,9
3151,28
3152,2
3153,67
3154,6
3155,7
3156,28
3157,8
3158,23
3159,5
316,77
3160,51
3161,8
3162,38
3163,3
3164,34
3165,49
3166,12
3167,2
3168,8
3169,62
317,6
3170,19
3171,48
3172,18
3173,6
3174,78
3175,48
3176,41
3177,28
3178,11
3179,32
318,69
3180,13
3181,41
3182,2
3183,53
3184,8
3185,34
3186,36
3187,15
3188,18
3189,45
319,7
3190,23
3191,53
3192,34
3193,22
3194,21
3195,34
3196,48
3197,32
3198,42
3199,48
32,8
320,81
3200,2
3201,5
3202,8
3203,17
3204,28
3205,51
3206,61
3207,51
3208,18
3209,7
321,52
3210,62
3211,65
3212,45
3213,65
3214,54
3215,2
3216,19
3217,61
3218,7
3219,54
322,82
3220,81
3221,82
3222,17
3223,39
3224,53
3225,22
3226,54
3227,41
3228,43
3229,53
323,66
3230,1
3231,7
3232,74
3233,32
3234,9
3235,59
3236,8
3237,59
3238,42
3239,11
324,7
3240,37
3241,53
3242,53
3243,4
3244,51
3245,8
3246,19
3247,43
3248,5
3249,13
325,68
3250,29
3251,53
3252,45
3253,28
3254,6
3255,34
3256,81
3257,21
3258,9
3259,51
326,73
3260,8
3261,57
3262,53
3263,42
3264,76
3265,42
3266,34
3267,6
3268,62
3269,41
327,72
3270,8
3271,77
3272,3
3273,8
3274,37
3275,34
3276,5
3277,11
3278,62
3279,71
328,69
3280,15
3281,34
3282,19
3283,41
3284,5
3285,39
3286,7
3287,54
3288,19
3289,8
329,6
3290,3
3291,28
3292,19
3293,28
3294,35
3295,45
3296,19
3297,28
3298,21
3299,81
33,3
330,68
3300,81
3301,76
3302,2
3303,13
3304,2
3305,12
3306,32
3307,2
3308,2
3309,6
331,68
3310,18
3311,3
3312,18
3313,76
3314,7
3315,28
3316,8
3317,49
3318,3
3319,13
332,42
3320,54
3321,11
3322,38
3323,1
3324,64
3325,44
3326,54
3327,33
3328,51
3329,32
333,78
3330,23
3331,39
3332,51
3333,3
3334,82
3335,5
3336,59
3337,34
3338,21
3339,2
334,67
3340,2
3341,11
3342,19
3343,23
3344,45
3345,45
3346,64
3347,48
3348,6
3349,79
335,75
3350,3
3351,5
3352,4
3353,41
3354,37
3355,11
3356,21
3357,23
3358,17
3359,1
336,67
3360,76
3361,39
3362,18
3363,58
3364,79
3365,49
3366,54
3367,6
3368,45
3369,51
337,52
3370,6
3371,13
3372,15
3373,21
3374,11
3375,12
3376,2
3377,78
3378,55
3379,39
338,75
3380,18
3381,6
3382,6
3383,46
3384,48
3385,45
3386,28
3387,5
3388,42
3389,62
339,53
3390,36
3391,83
3392,15
3393,5
3394,8
3395,64
3396,2
3397,28
3398,49
3399,7
34,82
340,34
3400,13
3401,32
3402,2
3403,45
3404,43
3405,28
3406,34
3407,45
3408,17
3409,22
341,69
3410,19
3411,39
3412,41
3413,21
3414,19
3415,37
3416,33
3417,22
3418,2
3419,27
342,71
3420,12
3421,78
3422,11
3423,3
3424,22
3425,2
3426,23
3427,6
3428,1
3429,41
343,63
3430,59
3431,21
3432,15
3433,2
3434,54
3435,61
3436,37
3437,12
3438,41
3439,82
344,69
3440,5
3441,2
3442,21
3443,42
3444,43
3445,1
3446,46
3447,15
3448,7
3449,57
3450,62
3451,13
3452,11
3453,19
3454,45
3455,19
3456,44
3457,13
3458,51
3459,3
346,8
3460,4
3461,53
3462,11
3463,43
3464,6
3465,51
3466,12
3467,41
3468,51
3469,43
347,79
3470,53
3471,15
3472,62
3473,43
3474,51
3475,36
3476,78
3477,44
3478,41
3479,37
348,63
3480,41
3481,76
3482,46
3483,62
3484,13
3485,14
3486,12
3487,53
3488,8
3489,11
349,63
3490,8
3491,41
3492,8
3493,77
3494,81
3495,12
3496,36
3497,19
3498,7
3499,16
35,74
350,77
3500,22
3501,3
3502,35
3503,45
3504,3
3505,54
3506,56
3507,52
3508,74
3509,81
351,75
3510,13
3511,9
3512,4
3513,8
3514,48
3515,45
3516,54
3517,81
3518,18
3519,19
352,41
3520,2
3521,59
3522,53
3523,11
3524,23
3525,39
3526,21
3527,3
3528,67
3529,5
353,79
3530,59
3531,76
3532,18
3533,6
3534,4
3535,67
3536,24
3537,4
3538,58
3539,1
354,75
3540,6
3541,4
3542,53
3543,35
3544,17
3545,28
3546,28
3547,3
3548,53
3549,34
355,75
3550,45
3551,11
3552,83
3553,64
3554,2
3555,81
3556,5
3557,28
3558,18
3559,19
356,3
3560,23
3561,7
3562,16
3563,3
3564,49
3565,25
3566,58
3567,64
3568,34
3569,31
357,63
3570,78
3571,35
3572,23
3573,49
3574,2
3575,15
3576,61
3577,65
3578,38
3579,6
358,69
3580,11
3581,42
3582,83
3583,49
3584,23
3585,21
