id,PageRankScore,T0PRScore,T1PRScore,T3PRScore,T5PRScore,T6PRScore,T7PRScore,T9PRScore,T10PRScore,T13PRScore,T14PRScore,T15PRScore,T16PRScore,T17PRScore,T18PRScore,T19PRScore,PageRankRank,T0PRRank,T1PRRank,T3PRRank,T5PRRank,T6PRRank,T7PRRank,T9PRRank,T10PRRank,T13PRRank,T14PRRank,T15PRRank,T16PRRank,T17PRRank,T18PRRank,T19PRRank
1885,0.0008004061795260281,9.440659471066516e-05,0.0012161043565267298,0.0010037687489405,0.0005550289209300745,0.00035878866371425074,7.540575820653681e-05,6.042897592889118e-05,0.0006759570419373018,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,0.0004532573995117945,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,32,5656,32,34,326,811,6321,6700,73,946,6156,505,496,5593,2289,7724
3906,0.0007987378024788529,9.440659471066516e-05,0.002245299717819433,0.00040040326492226313,0.000974912920917418,0.00035878866371425084,7.540575820653681e-05,0.0003867198150983834,0.0013463636704527508,7.56655680790344e-05,7.21409706019723e-05,0.0002451145339472208,0.0006110215253366592,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,33,5655,4,729,11,798,6334,760,6,6054,1399,939,98,5712,1363,4984
1904,0.0007926432241302819,9.440659471066516e-05,0.0015554169510559475,0.00032990803718926985,0.0005550289209300747,0.0009734636884263326,7.540575820653681e-05,0.0009456236653637429,0.0004663166618087378,7.56655680790344e-05,0.0005000315716400191,7.262156609649681e-05,8.496775442807955e-05,6.482113851154247e-05,0.0004314453033133229,0.0007764461871613485,34,5654,11,889,110,38,5759,43,469,1068,193,5886,1444,4611,459,71
2319,0.000784145694123074,9.440659471066516e-05,0.0015429225324356036,0.001319528420504002,8.977483942455356e-05,0.0005284943667908209,7.540575820653681e-05,0.0002632421348352094,0.00023435396354511343,7.56655680790344e-05,0.0005467286962502403,7.262156609649681e-05,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,0.00048548131183202305,35,5653,14,19,676,222,5817,1161,946,5838,152,5865,1406,4735,2165,224
2686,0.000776114712567188,9.440659471066516e-05,5.4433026550707303e-05,6.307962172545298e-05,0.00042573354787732296,0.0012349489021293964,0.001002604449990803,0.0005332799330789659,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,0.0002068181242275187,8.496775442807955e-05,6.482113851154247e-05,0.0011548354909319805,0.001112135601217764,36,5652,2312,2133,453,16,31,192,5872,1911,5406,971,5857,1890,20,30
3294,0.0007741807732976366,9.440659471066516e-05,0.001531780072184801,0.0008902285796460954,8.977483942455356e-05,0.0002324760789301536,7.540575820653681e-05,0.0003900264973258845,0.0009325953321412387,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,0.0023918135853417182,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,37,5651,15,47,660,1397,4557,573,26,1434,4816,557,1,2657,7631,3598
1901,0.0007679788534709085,9.440659471066516e-05,0.0014373042363173241,0.000900607907528023,8.977483942455356e-05,0.0009245454279597247,7.540575820653681e-05,0.0007213261343072638,0.0006570963298804334,7.56655680790344e-05,7.21409706019723e-05,0.0002687450499662546,0.0007434632225422451,6.482113851154247e-05,0.0005268592685358172,6.946043492708545e-05,38,5650,17,45,5694,47,5781,83,85,2219,5072,915,52,5810,174,5756
549,0.0007584564353989272,9.440659471066516e-05,5.4433026550707303e-05,6.307962172545298e-05,8.977483942455356e-05,0.00035878866371425084,0.0004787966899689382,6.042897592889118e-05,7.313870252085908e-05,0.0022582571376489986,7.21409706019723e-05,7.262156609649681e-05,8.496775442807955e-05,0.0011587913668118155,6.693474580860542e-05,6.946043492708545e-05,39,5649,2308,2137,5656,666,330,5861,1319,3,5756,1517,4407,21,5791,1831
2044,0.0007553343449792755,9.440659471066516e-05,5.4433026550707303e-05,0.0010011467266077677,8.977483942455356e-05,5.504313711100556e-05,0.0004787966899689382,0.0015337464163124432,7.313870252085908e-05,0.0004802183878055728,0.0004432820117076694,0.00046345078448377527,0.0007262630334055271,0.00041931036248497785,0.0004314453033133229,0.0002854974198983033,40,5677,2357,35,5693,2687,463,7,5775,280,648,320,56,670,404,887
2732,0.0007365999936422634,9.440659471066516e-05,0.0018566100530964624,6.307962172545298e-05,8.977483942455356e-05,5.504313711100556e-05,7.540575820653681e-05,6.042897592889118e-05,0.0009341165129517599,7.56655680790344e-05,7.21409706019723e-05,0.0018324253290149832,0.0011348056540720314,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,41,5678,8,2081,2289,5259,2049,2203,25,6049,1404,3,9,5786,1267,4819
2747,0.0007359000106918651,9.440659471066516e-05,0.0008170026717424798,0.00036834646741710857,0.001146489323689735,0.001706788103370223,7.540575820653681e-05,0.0003900264973258845,7.313870252085908e-05,7.56655680790344e-05,0.0007346866259051265,0.0006909750330535785,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,42,5679,75,795,9,4,5756,647,6285,2240,71,85,5632,1387,4590,1353
2187,0.0007341032217022073,0.0005786691969992375,0.0007786701521516726,0.0013360776875699157,0.0006243259531202185,0.0003373413827569915,7.540575820653681e-05,0.0008466353187323818,0.0005756503663363157,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,8.496775442807955e-05,6.482113851154247e-05,0.00031435865124226713,0.0017758854605358961,43,214,82,17,64,950,5954,60,112,5760,1535,381,5375,2614,958,8
618,0.0007214056946695409,9.440659471066516e-05,5.4433026550707303e-05,6.307962172545298e-05,8.977483942455356e-05,0.00035878866371425084,0.0004787966899689382,6.042897592889118e-05,7.313870252085908e-05,0.0026292689344391087,0.0004607809409051867,0.00046345078448377527,8.496775442807955e-05,0.0014252486145021619,6.693474580860542e-05,6.946043492708545e-05,44,5680,2365,1840,5655,673,337,2460,7812,1,353,513,5576,11,5799,1818
1702,0.0007134681220055032,0.000612181738085345,0.0007268651115597924,6.307962172545298e-05,8.977483942455356e-05,5.504313711100556e-05,0.0006937337130771112,0.0013647331564271847,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,7.262156609649681e-05,0.0007156147778138496,0.0007077252573299578,0.0014037093275000988,0.0006457464809475012,45,57,99,5724,5745,2782,84,17,5770,2081,4956,2040,59,73,11,119
6335,0.000707414562934577,9.440659471066516e-05,0.001551261941416307,0.0006044143958692698,0.0005550289209300743,0.0008662422515412837,7.540575820653681e-05,6.042897592889118e-05,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,0.0003288145632791337,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,46,5707,13,125,339,58,5773,6008,1116,6378,3587,818,6242,4018,7177,3132
6464,0.0007025765340499246,9.440659471066516e-05,0.0008411148083346166,0.0015713147839684406,8.977483942455356e-05,0.0005401620345554511,7.540575820653681e-05,0.00027410213795965544,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,0.0007318707386512753,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,0.0004457730858232786,47,5706,70,11,668,202,5895,1131,6101,1637,4656,69,5709,1473,4518,407
6348,0.0007022399640107935,9.440659471066516e-05,0.0015545778515870324,0.0007800805537003212,8.977483942455356e-05,0.0011852791437745084,7.540575820653681e-05,6.042897592889118e-05,0.0004663166618087378,0.00040834705229050237,0.0004607809409051867,7.262156609649681e-05,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,0.0004457730858232786,48,5705,12,66,5380,21,5743,6044,517,590,319,5522,663,6225,3796,388
458,0.0006991089261658145,0.0005786691969992375,0.00024134495085988809,0.00028529033377491564,8.977483942455356e-05,0.00013741757804256843,0.0004787966899689381,0.0005738140257548352,0.0010097246199537713,0.0007140176115627335,7.21409706019723e-05,7.262156609649681e-05,0.0003520153621263354,0.0013387642283273224,0.0004314453033133228,6.946043492708545e-05,49,231,1259,1039,5654,1682,479,161,17,87,5764,1548,576,14,563,5655
4803,0.0006960341159802672,9.440659471066516e-05,5.4433026550707303e-05,6.307962172545298e-05,8.977483942455356e-05,0.0003319349698044436,0.0007953444180504599,0.0007981317084478122,0.000704551928122874,7.56655680790344e-05,7.21409706019723e-05,7.262156609649681e-05,8.496775442807955e-05,6.482113851154247e-05,0.0020211257310382967,0.0007573707175826314,50,5704,2690,2787,3016,971,54,64,67,1522,4535,1502,4358,7103,7,75
5014,0.0006959205395590898,9.440659471066516e-05,0.0013306604762235784,6.307962172545298e-05,8.977483942455356e-05,0.0013035574333968042,7.540575820653681e-05,6.042897592889118e-05,0.0005981838707581114,7.56655680790344e-05,0.00039037344745981,0.0004438639242644158,0.0005185017700654281,6.482113851154247e-05,0.00030347574627863475,6.946043492708545e-05,51,5703,26,2050,2266,13,5749,5807,107,6224,723,641,461,5688,983,6013
3011,0.0006930289382727008,9.440659471066516e-05,0.0016196241207205397,6.307962172545298e-05,8.977483942455356e-05,0.0010027532337633966,7.540575820653681e-05,6.042897592889118e-05,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,0.0005374005843795162,6.482113851154247e-05,0.0003134831462283234,6.946043492708545e-05,52,5702,10,2073,2113,35,5730,6086,1227,1095,6109,313,431,5643,961,5966
424,0.0006907836397844723,9.440659471066516e-05,5.4433026550707303e-05,0.00040502226876967774,8.977483942455356e-05,0.00024977216359175315,7.540575820653681e-05,6.042897592889118e-05,7.313870252085908e-05,0.0017757151699318977,7.21409706019723e-05,0.00046345078448377527,0.0005374005843795162,0.0009412058762827933,6.693474580860542e-05,0.0004457730858232783,53,5701,2686,601,1088,1309,4825,4737,1956,6,5753,416,443,36,5781,564
4400,0.0006890814845293113,9.440659471066516e-05,0.0001688593191062166,6.307962172545298e-05,8.977483942455356e-05,0.000996252716031573,7.540575820653681e-05,0.0014009434980382068,7.313870252085908e-05,7.56655680790344e-05,0.0004607809409051867,0.0008369790018795447,8.496775442807955e-05,6.482113851154247e-05,0.0005955033473269712,0.00034629951461077386,54,5700,1596,2667,2391,37,5758,14,5772,5464,375,42,5695,1446,128,784
2650,0.0006820580267458007,9.440659471066516e-05,0.0014325427329844147,0.0010874686224085662,0.0005550289209300747,5.504313711100556e-05,7.540575820653681e-05,0.0005013642318728618,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,0.0006438079048885539,0.0008910118092041515,6.482113851154247e-05,6.693474580860542e-05,0.0005774092467499962,55,5699,18,28,138,5903,1446,225,5919,919,6335,110,25,5774,1268,162
678,0.000678166810713616,9.440659471066516e-05,0.0003516836427678772,6.307962172545298e-05,0.0005550289209300745,0.0003587886637142511,0.0008803242940360547,0.0015403825217884877,0.0004663166618087378,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,0.00038521850271381144,6.482113851154247e-05,0.0018179244116900129,0.00026528915290723943,56,5698,467,2009,146,459,40,6,533,6207,3928,330,547,6270,9,920
1573,0.0006713408291409629,9.440659471066516e-05,5.4433026550707303e-05,6.307962172545298e-05,8.977483942455356e-05,0.0018695605098977008,0.000554085609735441,6.042897592889118e-05,7.313870252085908e-05,7.56655680790344e-05,0.00046078094090518687,7.262156609649681e-05,0.0006966862691902836,6.482113851154247e-05,0.0004314453033133229,0.0006005610858802213,57,5697,2679,2533,2769,3,148,5992,1089,6116,258,5669,65,5800,457,145
2093,0.0006702376853945124,9.440659471066516e-05,0.0006176165541894887,0.00040502226876967774,8.977483942455356e-05,0.001632755469353279,7.540575820653681e-05,6.042897592889118e-05,0.00027359319649563046,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,0.0005374005843795165,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,58,5696,148,488,858,6,5754,6039,903,990,6022,299,170,5887,1719,4682
200,0.000669871559929629,9.440659471066516e-05,0.0001711317909534084,6.307962172545298e-05,8.977483942455356e-05,0.00035878866371425063,7.540575820653681e-05,0.0005290481768438214,0.001207383975137822,0.00019619774445628745,0.0012977619510216212,7.262156609649681e-05,0.000432260903059651,6.482113851154247e-05,0.0020380061541647844,6.946043492708545e-05,59,5695,1584,2665,2389,870,6022,195,9,852,12,5749,512,5638,6,5808
1464,0.0006650182338378636,9.440659471066516e-05,0.0002753240054148189,0.0007605448430001384,0.000834002546744561,0.000393468486096343,0.0007548251926318975,9.841859725668814e-05,0.0009823111710859454,0.0008992689341708823,7.21409706019723e-05,7.262156609649681e-05,0.000696686269190284,0.00017257867615876936,8.77504242199222e-05,0.0006741623325607792,60,5694,1144,72,25,360,65,1496,19,48,5759,1518,63,1211,1206,103
2391,0.0006635527200331296,0.0005786691969992377,5.4433026550707303e-05,6.307962172545298e-05,8.977483942455356e-05,0.0005992547557165594,0.0017357554808380274,6.042897592889118e-05,0.0005342406300436634,0.001821064281214905,7.21409706019723e-05,0.00046345078448377527,0.0005374005843795162,0.000650914314295978,0.00043144530331332316,0.0004796782631562818,61,113,5806,6189,5676,152,6,1584,136,4,5755,426,418,100,260,232
6446,0.0006619931357006761,9.440659471066516e-05,0.00017751096319118238,0.0006586398471909281,8.977483942455356e-05,0.0016962235957334447,7.540575820653681e-05,6.042897592889118e-05,7.313870252085908e-05,7.56655680790344e-05,0.0005804932132994482,7.262156609649681e-05,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,62,5693,1545,107,542,5,5755,6321,3776,6712,139,5878,1426,4568,1459,4600
4509,0.0006598713789716603,9.440659471066516e-05,0.0003220643382266251,6.307962172545298e-05,8.977483942455356e-05,0.00024648582499559816,7.540575820653681e-05,0.0014102747712182245,0.0004663166618087378,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,8.496775442807955e-05,6.482113851154247e-05,0.0013615422974205516,0.0006640690290105431,63,5692,974,5888,5947,1324,4840,13,538,1098,6106,331,5421,2593,12,108
1814,0.0006595650138241648,0.0005786691969992375,0.00011079236089111977,0.0005955573965398318,0.0011226091993630544,0.0004731757155281729,7.540575820653681e-05,0.0012733068330291679,7.313870252085908e-05,7.56655680790344e-05,0.0004607809409051866,0.0009177612941609436,8.496775442807955e-05,6.482113851154247e-05,0.0006734186643263921,0.00036183366900026403,64,259,1776,140,10,253,5819,20,5769,5727,556,30,5675,1518,86,741
