row_id,id,topics
102,1090,"[(2, 0.72792839011667954), (6, 0.22529877710632962)]"
103,1091,"[(1, 0.5068267010702151), (9, 0.33696935048935528)]"
104,1092,"[(1, 0.2670363206348087), (2, 0.4837635178418821)]"
105,1094,"[(1, 0.77829433397231473), (9, 0.20400921746846237)]"
106,1095,"[(1, 0.23949590238239959), (8, 0.75960513293585008)]"
107,1096,"[(5, 0.80917231915852494)]"
108,1097,"[(2, 0.30978185038670936), (3, 0.45174256848740818)]"
109,1098,"[(4, 0.42829548638197235), (9, 0.42289374286285836)]"
110,1099,"[(6, 0.22976862358995698), (9, 0.2819550623620003)]"
111,11,"[(1, 0.78609121735869203)]"
112,110,"[(1, 0.9095095587425216)]"
113,1100,"[(1, 0.60668406774626482)]"
114,1101,"[(1, 0.80383746048745464)]"
115,1102,"[(3, 0.67267281934888701)]"
116,1103,"[(1, 0.65279025039011263)]"
117,1104,"[(3, 0.59381669702188011), (6, 0.33079164013895895)]"
118,1105,"[(1, 0.99895588318893525)]"
119,1106,"[(0, 0.2048892076153504), (3, 0.76387414569847023)]"
120,1107,"[(3, 0.84622681779435782)]"
121,1108,"[(1, 0.25511110113908403), (2, 0.32308026657014227), (8, 0.24301726198796486)]"
122,1109,"[(5, 0.74971308419862948)]"
123,111,"[(1, 0.97189379075721982)]"
124,1111,"[(4, 0.44022699556434708), (9, 0.27145239171816304)]"
125,1112,"[(1, 0.21204513461502614), (3, 0.2009145332088739), (8, 0.26187901771927996)]"
126,1113,"[(0, 0.59433030270604292), (1, 0.28732353855305226)]"
127,1114,"[(5, 0.50889549636631293)]"
128,1115,"[(0, 0.79417716941684358)]"
129,1116,"[(3, 0.93106579347034402)]"
130,1117,"[(1, 0.28264638484373517), (5, 0.47866850010119316)]"
131,1118,"[(2, 0.2361462502536279), (7, 0.30044628221384179)]"
132,1119,"[(0, 0.20120906195117544), (1, 0.51270569751635631)]"
133,112,"[(1, 0.74973566081468235), (9, 0.22336285042885654)]"
134,1120,"[(1, 0.85878844508032559)]"
135,1121,"[(5, 0.89460287314605369)]"
136,1122,"[(4, 0.2244727594999848), (9, 0.59772083730535797)]"
137,1123,"[(1, 0.58917157546252152), (9, 0.40589714472543631)]"
138,1124,"[(5, 0.52122356893958877), (8, 0.24222825971625322)]"
139,1125,"[(1, 0.89952938928742665)]"
140,1126,"[(1, 0.37124290848854569), (3, 0.55218656576576963)]"
141,1127,"[(1, 0.6815504698373861)]"
142,1128,"[(3, 0.43597412483559222), (6, 0.46692903667677405)]"
143,1129,"[(1, 0.96176657106356989)]"
144,113,"[(3, 0.42486180879169938), (9, 0.45968865917739754)]"
145,1130,"[(1, 0.38540359461199525), (5, 0.26236347436305146), (8, 0.28065948032742571)]"
146,1131,"[(0, 0.40921653968942862), (7, 0.39474704405180577)]"
147,1132,"[(0, 0.21238795022723711), (2, 0.20977590258325809), (4, 0.48745618147680458)]"
148,1133,"[(5, 0.8837172762880271)]"
149,1134,"[(1, 0.76360330903185369)]"
150,1135,"[(1, 0.86485206682118321)]"
151,1136,"[(0, 0.28528003631163085), (1, 0.40869205730771119), (2, 0.22797357528182363)]"
152,1138,"[(1, 0.33385282386472442), (3, 0.21504288727258422), (5, 0.43295051484675612)]"
153,1139,"[(3, 0.20771528829353425), (6, 0.57584022739260354)]"
154,114,"[(1, 0.21609661187871956), (6, 0.60449688435022364)]"
155,1140,"[(1, 0.5019304610832438), (2, 0.22021448256449927)]"
156,1141,"[(1, 0.24995830821368753), (3, 0.3452434021820408)]"
157,1142,"[(1, 0.69424630368072793), (4, 0.26811790366185873)]"
158,1143,"[(5, 0.87503523178865117)]"
159,1144,"[(4, 0.71121425981223585)]"
160,1145,"[(1, 0.80876635182558654)]"
161,1146,"[(1, 0.8496064895177935)]"
162,1147,"[(0, 0.27004832746863877), (1, 0.33591906728303017), (2, 0.31119003207184942)]"
163,1148,"[(9, 0.6473211219544952)]"
164,1149,"[(1, 0.64309303214395186)]"
165,115,"[(1, 0.737908963011223)]"
166,1150,"[(1, 0.44953039615095819), (5, 0.27199171175998582)]"
167,1151,"[(1, 0.81019028061434184)]"
168,1152,"[(2, 0.20837480293978008), (6, 0.76592490335736052)]"
