,id,topics
99,1088,"[(2, 0.2067799407872265), (14, 0.41138503785737157)]"
100,1089,"[(8, 0.37782316256863685), (16, 0.44570725444106707)]"
101,109,"[(14, 0.81918184367877189)]"
102,1090,"[(3, 0.69851121697152763)]"
103,1091,"[(0, 0.52720481647334838)]"
104,1092,"[(12, 0.64534465815549835), (15, 0.22300227648680176)]"
105,1094,"[(17, 0.70991404015170712)]"
106,1095,"[(1, 0.58260956757663596)]"
107,1096,"[(12, 0.80362871691035009)]"
108,1097,"[(8, 0.2131036504803899), (14, 0.63999819841302474)]"
109,1098,"[(19, 0.39187606916550893)]"
110,1099,"[(3, 0.52941617499136351), (14, 0.37053480342486805)]"
111,11,"[(14, 0.39412127006567732), (17, 0.45413540420859105)]"
112,110,"[(17, 0.65268611242334518)]"
113,1100,"[(10, 0.23724014423646658), (14, 0.40567506107300227)]"
114,1101,"[(14, 0.71625631314151295)]"
115,1102,"[(14, 0.67382205284131325)]"
116,1103,"[(12, 0.34188592724122563), (16, 0.2025481025664771), (17, 0.31293804034513006)]"
117,1104,"[(0, 0.24477176871685649), (14, 0.54171855843322114)]"
118,1105,"[(17, 0.98329610029965464)]"
119,1106,"[(14, 0.78631497028794983)]"
120,1107,"[(9, 0.31547694790889352), (14, 0.52329934141152035)]"
121,1108,"[(1, 0.49703391128231578)]"
122,1109,"[(6, 0.31520824536904213), (19, 0.39033824092529057)]"
123,111,"[(13, 0.67546265652000448)]"
124,1111,"[(19, 0.41398126725640066)]"
125,1112,"[(1, 0.37427601100427943), (8, 0.20161266037571732), (14, 0.28074744856630074)]"
126,1113,"[(14, 0.4811025998897856), (16, 0.2413615359802396)]"
127,1114,"[(3, 0.37439176708714639), (7, 0.20450657250749568), (12, 0.21473242650235738)]"
128,1115,"[(10, 0.3012423857031864), (19, 0.41844008348327694)]"
129,1116,"[(0, 0.50919704992989778), (18, 0.30185386861153846)]"
130,1117,"[(0, 0.25399339625690359), (6, 0.47635134381007588), (17, 0.20043177986817459)]"
131,1118,"[(2, 0.22825413595744301)]"
132,1119,"[(4, 0.2664763719105836), (14, 0.47806145030724989)]"
133,112,"[(17, 0.82175998712191323)]"
134,1120,"[(13, 0.77344794378821224)]"
135,1121,"[(3, 0.21100560511933075), (6, 0.48782863138304589)]"
136,1122,"[(19, 0.74819208932208281)]"
137,1123,"[(17, 0.69413733072163253)]"
138,1124,"[(6, 0.59520687050912513)]"
139,1125,"[(17, 0.85244491324026783)]"
140,1126,"[(14, 0.6420601289258866), (19, 0.30693027464374745)]"
141,1127,"[(13, 0.3270952444906311), (14, 0.39025154027160025)]"
142,1128,"[(17, 0.49038998662645078)]"
143,1129,"[(17, 0.87831439731781291)]"
144,113,"[(14, 0.5638049861132054), (17, 0.24773180484367555)]"
145,1130,"[(6, 0.38977458690903033), (12, 0.43144830110438775)]"
146,1131,"[(16, 0.89094869761337692)]"
147,1132,"[(2, 0.41872092412414158), (19, 0.38277789663351586)]"
148,1133,"[(6, 0.53254621974457672), (19, 0.41247763433602685)]"
149,1134,"[(14, 0.23634532374609943), (17, 0.4827396782332547)]"
150,1135,"[(13, 0.74648107067394454)]"
151,1136,"[(1, 0.23151735234326876), (13, 0.20992042898150251), (16, 0.23254381624519971)]"
152,1138,"[(13, 0.34867764897377374), (17, 0.27810810344942793)]"
153,1139,"[(9, 0.42550740304286044)]"
154,114,"[(12, 0.3312450661245136), (14, 0.47281892758021837)]"
155,1140,"[(14, 0.35598821036022404), (16, 0.21470766300357114)]"
156,1141,"[(12, 0.29655432940237542), (16, 0.37503923630236496)]"
157,1142,"[(10, 0.29639904787487709), (17, 0.496969038261594)]"
158,1143,"[(6, 0.32218428970206464), (19, 0.61577397032977788)]"
159,1144,"[(19, 0.7558849332669928)]"
160,1145,"[(7, 0.24720647507260807), (17, 0.48993951448234413)]"
161,1146,"[(12, 0.24836631665984996), (17, 0.60641240590327283)]"
162,1147,"[(1, 0.23893117178476694), (14, 0.20137497008939492), (16, 0.25170169039570672)]"
163,1148,"[(0, 0.56864837503286358)]"
164,1149,"[(14, 0.74553511816882312)]"
165,115,"[(17, 0.85509408707546342)]"
166,1150,"[(8, 0.37704812892973255), (17, 0.38997323193586803)]"
167,1151,"[(13, 0.39630146765089547), (14, 0.55182465559294192)]"
168,1152,"[(9, 0.21913744477772529), (14, 0.61837970239636175)]"
169,1153,"[(2, 0.31183021323182797), (14, 0.28718810845750453)]"
170,1154,"[(17, 0.7913509126736471)]"
171,1155,"[(19, 0.62608444057795609)]"
172,1156,"[(10, 0.25784509245788739), (12, 0.33201150133888774), (13, 0.20731714358504943)]"
173,1157,"[(13, 0.58485167791982606), (17, 0.41352728360837532)]"
174,1158,"[(13, 0.76257533735039762)]"
175,1159,"[(14, 0.33575380090976831), (17, 0.34715033551842911)]"
176,116,"[(12, 0.65973898221301341)]"
177,1160,"[(14, 0.39623174107903908), (16, 0.47267889977311955)]"
178,1161,"[(6, 0.21621412030342252), (14, 0.48325204953361922)]"
179,1162,"[(14, 0.62393281206390672)]"
180,1163,"[(13, 0.61786965302072583)]"
181,1164,"[(17, 0.69899809544852565)]"
182,1165,"[(14, 0.69039293905181986)]"
183,1166,"[(12, 0.58690556600403654), (14, 0.39522647899478236)]"
184,1167,"[(7, 0.29920435775506288), (19, 0.59354216891874467)]"
185,1168,"[(18, 0.83077688960516383)]"
186,1169,"[(6, 0.28498523896572603), (19, 0.41761524448202686)]"
187,1170,"[(14, 0.69512934752333688)]"
188,1171,"[(14, 0.29344287248112555), (16, 0.57948071184114025)]"
189,1172,"[(6, 0.51920441818557006), (8, 0.36885233479022228)]"
190,1173,"[(17, 0.91717805964160681)]"
191,1174,"[(12, 0.75304660994196471)]"
192,1175,"[(14, 0.51506661237714857)]"
193,1176,"[(12, 0.36004738255125535), (14, 0.33410100810678356)]"
194,1177,"[(12, 0.67335075079256901)]"
195,1178,"[(17, 0.72752503536068203)]"
196,1179,"[(4, 0.25219546575424912), (13, 0.21827203221608307)]"
197,118,"[(13, 0.24190219553479317), (14, 0.69115833148795169)]"
198,1180,"[(9, 0.21162629984208506), (18, 0.56329586351150096)]"
199,1181,"[(10, 0.54910169701064471), (14, 0.26589884746850762)]"
200,1182,"[(14, 0.36938778406306982), (19, 0.25202604075602031)]"
201,1183,"[(4, 0.30061630040440623), (13, 0.25067251822147546), (19, 0.24981676488510424)]"
202,1184,"[(1, 0.37343781220857375), (4, 0.4321187195054963)]"
203,1185,"[(6, 0.28857461016368724), (8, 0.38623370067469481), (12, 0.25366391558121548)]"
204,1186,"[(6, 0.25682086201537918), (8, 0.33220624240820684), (9, 0.37655896324436511)]"
205,1187,"[(4, 0.3553598527122851), (16, 0.56769865399655606)]"
206,1188,"[(13, 0.25920320809968006), (17, 0.55324535729147217)]"
207,1189,"[(11, 0.24629772865629779), (14, 0.27541938416684703), (19, 0.24006321492711358)]"
208,119,"[(14, 0.7783685855904342)]"
209,1190,"[(0, 0.20844085010507912), (13, 0.22445066628170748)]"
210,1191,"[(2, 0.25089306136950701), (19, 0.6625310619564847)]"
