,id,topics
142,1138,"[(13, 1), (0, 1)]"
143,1139,"[(0, 1), (1, 1), (13, 1)]"
144,114,"[(13, 4), (1, 2), (6, 1), (7, 1)]"
145,1140,[]
146,1141,"[(6, 3), (13, 3), (1, 3), (14, 2), (10, 1)]"
147,1142,"[(6, 1), (19, 1)]"
148,1143,"[(17, 7), (19, 2), (6, 1)]"
149,1144,"[(3, 2), (6, 1), (14, 1)]"
150,1145,"[(6, 1)]"
151,1146,"[(3, 2), (1, 1)]"
152,1147,[]
153,1148,[]
154,1149,"[(1, 4), (16, 2), (6, 1)]"
155,115,"[(13, 1), (1, 1)]"
156,1150,"[(0, 1), (1, 1)]"
157,1151,"[(13, 2), (0, 1), (1, 1), (6, 1)]"
158,1152,"[(3, 5), (5, 3), (1, 1)]"
159,1153,"[(1, 1), (9, 1)]"
160,1154,"[(1, 1), (9, 1)]"
161,1155,"[(13, 2), (19, 2), (1, 1), (6, 1)]"
162,1158,"[(13, 1)]"
163,1159,"[(13, 1)]"
164,116,"[(1, 1), (3, 1)]"
165,1160,"[(1, 3), (6, 2), (0, 1)]"
166,1161,"[(1, 1)]"
167,1162,"[(13, 3), (1, 2), (6, 1), (5, 1)]"
168,1163,"[(1, 4), (3, 3), (5, 1)]"
169,1164,"[(5, 1)]"
170,1165,"[(0, 1), (13, 1)]"
171,1166,"[(6, 1), (13, 1), (19, 1)]"
172,1167,"[(0, 3), (15, 3), (17, 2), (19, 1), (16, 1), (18, 1)]"
173,1168,"[(3, 1)]"
174,1169,"[(3, 1)]"
175,117,"[(1, 1), (3, 1)]"
176,1170,"[(3, 1)]"
177,1171,"[(14, 8), (13, 6), (16, 3), (6, 2), (19, 1), (15, 1)]"
178,1172,"[(13, 1), (14, 1)]"
179,1173,"[(6, 6), (14, 3), (19, 1), (5, 1), (9, 1), (16, 1), (0, 1), (10, 1)]"
180,1174,"[(16, 5), (17, 2), (0, 2), (14, 1), (10, 1), (19, 1)]"
181,1175,"[(16, 2), (13, 1)]"
182,1176,"[(1, 1), (13, 1)]"
183,1177,"[(3, 2), (1, 1), (7, 1)]"
184,1178,[]
185,1179,"[(1, 1), (6, 1)]"
186,118,"[(1, 1), (3, 1), (13, 1)]"
187,1180,"[(1, 1), (6, 1)]"
188,1181,"[(15, 1)]"
189,1182,"[(15, 1)]"
190,1183,"[(17, 4), (9, 4), (15, 1), (13, 1), (16, 1), (10, 1), (3, 1)]"
191,1184,"[(13, 1)]"
192,1185,"[(13, 11), (6, 4), (18, 1), (17, 1)]"
193,1186,"[(3, 2), (9, 1)]"
194,1187,"[(3, 1)]"
195,1188,"[(15, 23), (13, 9), (16, 5), (17, 4), (5, 4), (0, 3), (3, 3), (9, 3), (14, 2), (1, 2), (6, 1), (10, 1)]"
196,1189,"[(1, 2), (3, 2), (5, 1), (15, 1), (10, 1), (16, 1), (19, 1)]"
197,119,"[(1, 1), (10, 1)]"
198,1190,"[(0, 1), (6, 1), (13, 1)]"
199,1191,"[(0, 1), (6, 1), (13, 1)]"
200,1192,"[(1, 1)]"
201,1193,"[(1, 1)]"
202,1194,"[(1, 1)]"
203,1195,"[(1, 1)]"
204,1196,"[(13, 5), (1, 3), (6, 1), (19, 1), (17, 1), (0, 1)]"
205,1197,"[(13, 4), (16, 1), (17, 1), (0, 1), (1, 1)]"
206,1198,"[(6, 2), (1, 1)]"
207,1199,"[(1, 1), (6, 1)]"
208,12,"[(1, 4), (3, 2)]"
209,120,"[(1, 1), (10, 1)]"
210,1200,"[(13, 12), (14, 7), (6, 3), (18, 2), (17, 2)]"
211,1201,"[(16, 6), (13, 5), (6, 5), (0, 5), (17, 4), (14, 3), (19, 2), (15, 1), (10, 1), (5, 1), (1, 1), (9, 1)]"
212,1202,"[(1, 1)]"
213,1203,"[(1, 1)]"
214,1204,"[(1, 1)]"
215,1205,"[(1, 1)]"
216,1206,"[(3, 1)]"
217,1207,"[(1, 1)]"
218,1208,"[(6, 1), (13, 1), (19, 1)]"
219,1209,"[(13, 1)]"
220,121,"[(1, 28), (13, 13), (0, 10), (6, 7), (15, 6), (16, 5), (9, 3), (17, 3), (7, 1), (19, 1), (5, 1), (14, 1), (18, 1)]"
221,1210,"[(3, 2), (5, 2), (1, 1)]"
222,1211,"[(1, 1)]"
223,1212,"[(1, 1)]"
224,1213,"[(6, 1)]"
225,1214,"[(9, 2)]"
226,1215,"[(5, 2), (9, 1), (10, 1)]"
227,1216,"[(6, 1), (10, 1)]"
228,1217,"[(1, 1)]"
229,1218,"[(1, 1), (3, 1)]"
230,1219,"[(13, 2), (7, 1), (0, 1), (1, 1)]"
231,122,"[(1, 3), (3, 2), (13, 1)]"
232,1220,"[(13, 1)]"
233,1221,"[(13, 3), (14, 2), (5, 2)]"
234,1222,"[(16, 2)]"
235,1223,"[(1, 1)]"
236,1224,"[(1, 1)]"
237,1225,"[(1, 1)]"
238,1226,"[(3, 1), (5, 1)]"
239,1227,"[(3, 2), (5, 2)]"
240,1228,"[(9, 2), (1, 1), (16, 1)]"
241,1229,"[(13, 1), (14, 1)]"
242,123,"[(1, 1)]"
243,1230,"[(13, 1)]"
244,1231,"[(1, 1)]"
245,1232,"[(1, 1)]"
246,1233,"[(1, 1)]"
247,1234,"[(1, 1)]"
248,1235,"[(1, 2), (0, 1), (3, 1), (9, 1)]"
249,1236,"[(3, 1), (5, 1)]"
250,1237,"[(0, 1)]"
251,1238,"[(0, 1)]"
252,1239,"[(0, 1)]"
253,124,"[(1, 4), (6, 1)]"
254,1240,[]
255,1241,"[(13, 2)]"
256,1242,"[(3, 1)]"
257,1243,"[(1, 1), (13, 1)]"
258,1244,"[(1, 2), (5, 1)]"
259,1245,"[(6, 1), (9, 1)]"
260,1246,"[(3, 1)]"
261,1247,"[(3, 1), (5, 1)]"
262,1248,"[(5, 2), (3, 1)]"
263,1249,"[(3, 1), (5, 1)]"
264,125,"[(1, 4), (0, 1)]"
265,1250,"[(3, 1), (5, 1)]"
266,1251,"[(6, 1), (19, 1)]"
267,1252,"[(17, 7), (19, 2), (6, 1), (10, 1)]"
268,1253,"[(19, 12), (6, 2), (16, 2), (14, 2), (10, 2), (9, 1), (15, 1), (17, 1)]"
269,1254,"[(14, 8), (13, 4), (16, 2), (5, 1)]"
270,1255,"[(1, 1)]"
271,1256,"[(1, 1)]"
272,1257,"[(1, 1)]"
273,1258,"[(3, 4), (18, 3), (13, 1), (16, 1)]"
274,1259,"[(5, 3), (1, 3), (3, 1)]"
275,126,"[(1, 1)]"
276,1260,"[(6, 1), (16, 1)]"
277,1261,"[(6, 1), (16, 1)]"
278,1262,"[(6, 1), (16, 1)]"
279,1263,"[(14, 2), (13, 1), (6, 1), (5, 1), (9, 1), (16, 1), (15, 1), (17, 1)]"
280,1264,[]
281,1265,"[(19, 2), (16, 1), (10, 1), (18, 1)]"
282,1266,"[(16, 1), (10, 1), (3, 1)]"
283,1267,"[(0, 1), (3, 1)]"
284,1268,"[(7, 1)]"
285,1269,"[(13, 1), (3, 1), (15, 1)]"
286,127,"[(1, 2)]"
287,1270,"[(3, 1)]"
288,1271,"[(3, 1)]"
289,1272,"[(3, 3), (1, 2), (5, 1), (7, 1), (6, 1)]"
290,1273,"[(1, 1)]"
291,1274,"[(13, 1)]"
292,1275,"[(1, 1), (6, 1), (19, 1)]"
293,1276,[]
294,1277,[]
295,1278,"[(19, 3), (13, 2), (0, 2), (6, 1), (17, 1), (18, 1)]"
296,1279,"[(13, 1)]"
297,128,"[(1, 1), (7, 1), (9, 1)]"
298,1280,"[(0, 3), (1, 3), (13, 1)]"
299,1281,"[(3, 3), (5, 1)]"
300,1282,"[(14, 10), (3, 8), (19, 7), (17, 6), (0, 5), (6, 4), (5, 4), (13, 3), (10, 1), (1, 1), (7, 1)]"
301,1283,"[(6, 4), (18, 2), (14, 2), (13, 1), (10, 1), (0, 1)]"
302,1284,"[(6, 1), (19, 1)]"
303,1285,"[(17, 8), (16, 3), (13, 1), (6, 1), (9, 1), (15, 1)]"
304,1286,"[(6, 1), (19, 1)]"
305,1287,"[(6, 1), (1, 1), (19, 1)]"
306,1288,"[(1, 1)]"
307,1289,"[(1, 1)]"
308,129,"[(1, 1), (7, 1), (9, 1)]"
309,1290,"[(1, 1)]"
310,1291,"[(5, 1), (9, 1)]"
311,1292,"[(5, 1), (9, 1)]"
312,1293,"[(3, 1)]"
313,1294,"[(1, 1)]"
314,1295,"[(13, 2), (6, 1), (1, 1)]"
315,1296,"[(6, 1), (13, 1)]"
316,1297,"[(6, 1)]"
317,1298,"[(13, 1), (6, 1), (0, 1), (15, 1), (17, 1)]"
318,1299,"[(1, 1)]"
319,13,"[(1, 2), (6, 2), (10, 1), (3, 1), (14, 1), (19, 1)]"
320,130,[]
321,1300,"[(1, 1)]"
322,1301,"[(3, 1)]"
323,1302,"[(5, 3), (14, 2), (15, 1), (0, 1), (3, 1)]"
324,1303,"[(7, 1), (13, 1)]"
325,1304,"[(1, 1), (6, 1)]"
326,1305,"[(1, 1), (6, 1)]"
327,1306,"[(1, 1), (6, 1)]"
328,1307,"[(1, 1), (6, 1)]"
329,1308,"[(1, 1), (6, 1)]"
330,1309,"[(18, 1), (19, 1)]"
331,131,"[(1, 1), (13, 1)]"
332,1310,"[(3, 4), (5, 3), (14, 1)]"
333,1311,"[(3, 4), (5, 2)]"
334,1312,[]
335,1313,[]
336,1314,[]
337,1315,[]
338,1316,"[(1, 1), (3, 1)]"
339,1317,"[(1, 1), (3, 1)]"
340,1318,"[(1, 1), (3, 1)]"
341,1319,"[(1, 1), (3, 1)]"
342,132,"[(3, 1)]"
343,1320,"[(19, 2), (6, 1)]"
344,1321,"[(19, 3), (6, 1)]"
345,1322,"[(1, 1), (16, 1)]"
346,1323,"[(14, 3), (1, 2), (17, 2), (16, 1), (15, 1), (19, 1), (10, 1), (9, 1), (13, 1), (0, 1)]"
347,1324,"[(13, 1)]"
348,1325,"[(0, 1), (1, 1), (13, 1)]"
349,1326,"[(17, 1)]"
350,1327,"[(1, 1)]"
351,1328,"[(0, 1), (1, 1)]"
352,1329,"[(0, 1), (1, 1)]"
353,133,"[(1, 1), (6, 1)]"
354,1330,"[(0, 1), (1, 1)]"
355,1331,"[(19, 4), (6, 3), (13, 1)]"
356,1332,"[(6, 1)]"
357,1333,"[(6, 1)]"
358,1334,"[(13, 1)]"
359,1335,"[(5, 2), (6, 1), (18, 1), (14, 1)]"
360,1336,"[(1, 3)]"
361,1337,"[(1, 1)]"
362,1338,"[(1, 2)]"
363,1339,"[(1, 2)]"
364,134,"[(1, 2), (13, 1), (0, 1)]"
365,1340,"[(16, 1)]"
366,1341,"[(16, 1)]"
367,1342,"[(13, 2), (5, 1), (18, 1)]"
368,1343,"[(3, 1)]"
369,1344,"[(13, 1), (14, 1)]"
370,1345,"[(14, 3), (5, 1), (9, 1), (16, 1)]"
371,1346,"[(1, 2), (5, 2), (3, 1)]"
372,1347,"[(5, 3), (3, 2), (1, 1)]"
373,1348,"[(1, 1), (13, 1)]"
374,1349,"[(6, 2), (13, 2)]"
375,135,"[(0, 1), (5, 1), (13, 1)]"
376,1350,"[(1, 1), (3, 1)]"
377,1351,"[(1, 1), (3, 1)]"
378,1352,"[(3, 1)]"
379,1353,[]
380,1354,[]
381,1355,"[(6, 2), (10, 2), (19, 2)]"
382,1356,"[(6, 2), (14, 1)]"
383,1357,"[(18, 2), (17, 2), (16, 2), (3, 1), (15, 1), (19, 1), (10, 1), (14, 1)]"
384,1358,"[(1, 1), (3, 1)]"
385,1359,"[(1, 1), (5, 1), (0, 1), (13, 1)]"
386,136,"[(1, 1), (6, 1)]"
387,1360,"[(13, 1), (15, 1)]"
388,1361,"[(14, 12), (19, 7), (17, 3), (6, 2), (16, 1), (18, 1)]"
389,1362,"[(1, 1)]"
390,1363,"[(13, 1)]"
391,1364,"[(3, 1)]"
392,1365,"[(13, 3), (6, 2), (19, 1), (16, 1)]"
393,1366,"[(1, 1)]"
394,1367,"[(1, 1), (3, 1)]"
395,1368,"[(1, 1), (13, 1)]"
396,1369,"[(13, 3), (1, 1)]"
397,137,"[(1, 1)]"
398,1370,"[(16, 6), (1, 4), (15, 4), (13, 3), (17, 3), (14, 2), (0, 2), (3, 1), (18, 1), (5, 1), (9, 1), (7, 1)]"
399,1371,"[(13, 2), (6, 1)]"
400,1372,"[(3, 1)]"
401,1373,"[(3, 1)]"
402,1374,"[(1, 2), (0, 1), (3, 1), (5, 1)]"
403,1375,"[(13, 1), (15, 1)]"
404,1376,"[(6, 2), (16, 1), (7, 1), (17, 1)]"
405,1377,"[(6, 1)]"
406,1378,"[(6, 1)]"
407,1379,"[(1, 1), (13, 1)]"
408,138,"[(3, 1)]"
409,1380,"[(1, 1), (13, 1)]"
410,1381,"[(1, 1), (6, 1)]"
411,1382,"[(3, 1)]"
412,1383,"[(3, 1)]"
413,1384,"[(1, 1), (15, 1)]"
414,1385,"[(1, 2), (6, 1), (15, 1)]"
415,1386,"[(13, 1), (16, 1), (15, 1), (18, 1), (14, 1)]"
416,1387,"[(1, 1)]"
417,1388,"[(9, 2), (1, 1)]"
418,1389,"[(1, 1)]"
419,139,"[(13, 2)]"
420,1390,"[(13, 1), (15, 1)]"
421,1391,"[(13, 1), (15, 1)]"
422,1392,"[(5, 2), (3, 2)]"
423,1393,"[(5, 1), (3, 1)]"
424,1394,"[(5, 1), (3, 1)]"
425,1395,"[(13, 1)]"
426,1396,"[(13, 1)]"
427,1397,"[(13, 2), (1, 1)]"
428,1398,"[(13, 2), (3, 2), (6, 1), (17, 1)]"
429,1399,"[(3, 1)]"
430,14,"[(1, 1), (6, 1)]"
431,140,"[(13, 5), (3, 5), (15, 3), (1, 2), (7, 2), (0, 1)]"
432,1400,"[(3, 1)]"
433,1401,"[(3, 1)]"
434,1402,"[(1, 1)]"
435,1403,"[(13, 3), (18, 3), (14, 3), (5, 1), (15, 1), (17, 1)]"
436,1404,"[(5, 4), (19, 2), (14, 2), (13, 1), (17, 1), (7, 1)]"
437,1405,"[(13, 1), (19, 1), (5, 1), (6, 1), (17, 1)]"
